"target_id","source_id","doi","role","evidence_class","biological_system","gland_or_tissue","species","genotype","assay","stimulus_or_perturbation","bath_or_protocol","temperature_C","observation_window","measurement","estimate","unit","uncertainty","uncertainty_type","n","n_unit","source_anchor","numeric_status","allowed_use","notes"
"C16_ELECTRONEUTRAL_CURRENT_CLAMP","P16","10.1085/jgp.201611571","CALIBRATION_TRANSPORTER","MEASUREMENT","heterologous CHO-K1","cell culture","mouse construct","Ae4-transfected versus nontransfected","simultaneous SPQ and whole-cell current clamp","external Na addition under low Cl","patch solutions in Table 2","22","transport-associated transition","membrane-potential change","less than 2","mV","NA","not_reported","7;8","cells","Figure 4A-D","threshold_reported","hard_charge_gate","Constrains net charge near zero at assay resolution; does not identify stoichiometry."
"C16_VOLTAGE_INDEPENDENCE","P16","10.1085/jgp.201611571","CALIBRATION_TRANSPORTER","MEASUREMENT","heterologous CHO-K1","cell culture","mouse construct","Ae4-transfected","simultaneous BCECF and voltage clamp","holding potential -100 versus 0 mV","patch solutions in Table 2","22","initial alkalinization","voltage dependence of AE4 activity","essentially identical at -100 and 0 mV","qualitative","NA","not_applicable","5;5","cells","Figure 4E-F","qualitative_reported","hard_charge_gate","Use as an equivalence-direction constraint only; no equivalence margin was reported."
"C16_CURRENT_MINUS100_AE4","P16","10.1085/jgp.201611571","CALIBRATION_TRANSPORTER","MEASUREMENT","heterologous CHO-K1","cell culture","mouse construct","Ae4-transfected","whole-cell voltage clamp","external Na addition at -100 mV","patch solutions in Table 2","22","before versus after Na addition","macroscopic current difference","-1.68","pA/pF","0.44","SEM","5","cells","Figure 4 text","exact_reported","current_resolution_gate","Nontransfected comparator is -1.27 +/- 0.46 pA/pF; p=0.54."
"C16_CURRENT_ZERO_AE4","P16","10.1085/jgp.201611571","CALIBRATION_TRANSPORTER","MEASUREMENT","heterologous CHO-K1","cell culture","mouse construct","Ae4-transfected","whole-cell voltage clamp","external Na addition at 0 mV","patch solutions in Table 2","22","before versus after Na addition","macroscopic current difference","-0.28","pA/pF","0.09","SEM","5","cells","Figure 4 text","exact_reported","current_resolution_gate","Nontransfected comparator is -0.21 +/- 0.14 pA/pF; p=0.69."
"C16_DIRECT_K_SIGNAL","P16","10.1085/jgp.201611571","CALIBRATION_TRANSPORTER","MEASUREMENT","heterologous CHO-K1","cell culture","mouse construct","Ae4-transfected versus nontransfected","PBFI intracellular K fluorescence","inward Cl and outward K gradients; Na-free","145 mM K high/low-Cl protocol; Na-free","37","sustained gradient response","AE4-associated K movement","sustained K loss in Ae4 cells; little in controls","qualitative","NA","not_applicable","6;8","cells","Figure 8C-D","qualitative_reported","hard_direction_gate","PBFI is only about 1.5-fold K-selective over Na; Na-free protocol prevents Na contamination."
"C16_MONOVALENT_CATION_PERMISSIVENESS","P16","10.1085/jgp.201611571","CALIBRATION_TRANSPORTER","MEASUREMENT","heterologous CHO-K1","cell culture","mouse construct","Ae4-transfected","BCECF initial alkalinization","Na K Li Rb Cs versus NMDG","100 mM test cation where stated; low-Cl HCO3 protocol","37","initial low-Cl response","cation permissiveness","activity with Na K Li Rb Cs; not NMDG","qualitative","NA","not_applicable","Na 10; K 8; Li/Rb/Cs 6 each; NMDG 6","cells","Figure 8A-B","qualitative_reported","branch_support_gate","Does not imply equal microscopic kinetics for all cations."
"C16_NA_EC50","P16","10.1085/jgp.201611571","CALIBRATION_TRANSPORTER","REPORTED_FIT","heterologous CHO-K1","cell culture","mouse construct","Ae4-transfected","BCECF Hill fit","external Na series","5/25/50/100/125/150 mM Na; 25 mM HCO3; low-Cl response","37","initial alkalinization slopes","effective Na EC50","49","mM","not reported","fit uncertainty not reported","at least 4 per concentration","experiments","Figure 9 and text","exact_fit_summary","fit_transporter_observation_map","No zero-cation point or fit covariance."
"C16_NA_HILL","P16","10.1085/jgp.201611571","CALIBRATION_TRANSPORTER","REPORTED_FIT","heterologous CHO-K1","cell culture","mouse construct","Ae4-transfected","BCECF Hill fit","external Na series","5/25/50/100/125/150 mM Na","37","initial alkalinization slopes","effective Na Hill coefficient","2.0","dimensionless","not reported","fit uncertainty not reported","at least 4 per concentration","experiments","Figure 9 and text","exact_fit_summary","fit_transporter_observation_map","Must not be interpreted as a measured number of transported Na ions."
"C16_NA_RMIN","P16","10.1085/jgp.201611571","CALIBRATION_TRANSPORTER","REPORTED_FIT","heterologous CHO-K1","cell culture","mouse construct","Ae4-transfected","BCECF Hill fit","external Na series","5/25/50/100/125/150 mM Na","37","initial alkalinization slopes","Na fit Rmin","0.3","x10^-3 s^-1","not reported","fit uncertainty not reported","at least 4 per concentration","experiments","Figure 9 and text","exact_fit_summary","fit_assay_offset","No zero-cation observation was included."
"C16_NA_RMAX","P16","10.1085/jgp.201611571","CALIBRATION_TRANSPORTER","REPORTED_FIT","heterologous CHO-K1","cell culture","mouse construct","Ae4-transfected","BCECF Hill fit","external Na series","5/25/50/100/125/150 mM Na","37","initial alkalinization slopes","Na fit Rmax","1.5","x10^-3 s^-1","not reported","fit uncertainty not reported","at least 4 per concentration","experiments","Figure 9 and text","exact_fit_summary","fit_transporter_observation_map","Heterologous assay maximum; not native capacity."
"C16_K_EC50","P16","10.1085/jgp.201611571","CALIBRATION_TRANSPORTER","REPORTED_FIT","heterologous CHO-K1","cell culture","mouse construct","Ae4-transfected","BCECF Hill fit","external K series","5/25/50/100/125/150 mM K; Na-free; 25 mM HCO3","37","initial alkalinization slopes","effective K EC50","62","mM","not reported","fit uncertainty not reported","at least 4 per concentration","experiments","Figure 9 and text","exact_fit_summary","fit_transporter_observation_map","No zero-cation point or fit covariance."
"C16_K_HILL","P16","10.1085/jgp.201611571","CALIBRATION_TRANSPORTER","REPORTED_FIT","heterologous CHO-K1","cell culture","mouse construct","Ae4-transfected","BCECF Hill fit","external K series","5/25/50/100/125/150 mM K; Na-free","37","initial alkalinization slopes","effective K Hill coefficient","1.8","dimensionless","not reported","fit uncertainty not reported","at least 4 per concentration","experiments","Figure 9 and text","exact_fit_summary","fit_transporter_observation_map","Must not be interpreted as a measured number of transported K ions."
"C16_K_RMIN","P16","10.1085/jgp.201611571","CALIBRATION_TRANSPORTER","REPORTED_FIT","heterologous CHO-K1","cell culture","mouse construct","Ae4-transfected","BCECF Hill fit","external K series","5/25/50/100/125/150 mM K; Na-free","37","initial alkalinization slopes","K fit Rmin","0.4","x10^-3 s^-1","not reported","fit uncertainty not reported","at least 4 per concentration","experiments","Figure 9 and text","exact_fit_summary","fit_assay_offset","No zero-cation observation was included."
"C16_K_RMAX","P16","10.1085/jgp.201611571","CALIBRATION_TRANSPORTER","REPORTED_FIT","heterologous CHO-K1","cell culture","mouse construct","Ae4-transfected","BCECF Hill fit","external K series","5/25/50/100/125/150 mM K; Na-free","37","initial alkalinization slopes","K fit Rmax","1.6","x10^-3 s^-1","not reported","fit uncertainty not reported","at least 4 per concentration","experiments","Figure 9 and text","exact_fit_summary","fit_transporter_observation_map","Heterologous assay maximum; not native capacity."
"C16_INTERNAL_ANION_O","P16","10.1085/jgp.201611571","CALIBRATION_TRANSPORTER","MEASUREMENT","heterologous CHO-K1 whole-cell patch","cell culture","mouse construct","Ae4-transfected","simultaneous BCECF and patch clamp","CO2/HCO3 acidification","pipette O: 15 mM Cl and no HCO3","22","initial alkalinization","alkalinization rate","0.12","x10^-3 s^-1","0.03","SEM","6","cells","Table 4","exact_reported","fit_or_gate_anion_exchange","Supports exchange with an intracellular permeant anion."
"C16_INTERNAL_ANION_P","P16","10.1085/jgp.201611571","CALIBRATION_TRANSPORTER","MEASUREMENT","heterologous CHO-K1 whole-cell patch","cell culture","mouse construct","Ae4-transfected","simultaneous BCECF and patch clamp","CO2/HCO3 acidification","pipette P: 4 mM Cl and no HCO3","22","initial alkalinization","alkalinization rate","0.02","x10^-3 s^-1","0.01","SEM","6","cells","Table 4","exact_reported","fit_or_gate_anion_exchange","Differs from O p=0.01 and Q p=0.001."
"C16_INTERNAL_ANION_Q","P16","10.1085/jgp.201611571","CALIBRATION_TRANSPORTER","MEASUREMENT","heterologous CHO-K1 whole-cell patch","cell culture","mouse construct","Ae4-transfected","simultaneous BCECF and patch clamp","CO2/HCO3 acidification","pipette Q: 4 mM Cl and 15 mM HCO3","22","initial alkalinization","alkalinization rate","0.08","x10^-3 s^-1","0.01","SEM","7","cells","Table 4","exact_reported","fit_or_gate_anion_exchange","OH or carbonate substitution was not excluded."
"C21_NATIVE_WT_IPR","P21","10.1152/ajpgi.00145.2021","CALIBRATION_REGULATION","MEASUREMENT","native isolated acini","submandibular gland","mouse","WT controls","SPQ Cl depletion/reuptake initial slope","5 uM isoproterenol versus control","50 uM bumetanide + 50 uM T16Ainh-A01; HCO3 high/low-Cl","37","assay trace 0-600 s; initial reuptake slope","total native exchanger activation","IPR greater than control; p<0.001","qualitative","NA","SD; numeric means not tabulated","11;12","experiments","Figure 1B","figure_only_not_digitized","regulatory_direction_gate","The assay trace is not an IPR-onset trace and cannot calibrate a regulatory time constant."
"C21_NATIVE_AE4_IPR_H89","P21","10.1152/ajpgi.00145.2021","CALIBRATION_REGULATION","MEASUREMENT","native isolated acini","submandibular gland","mouse","acinus-specific Ae2-null","SPQ Cl depletion/reuptake initial slope","control versus 5 uM IPR versus 5 uM IPR + 10 uM H89","50 uM bumetanide + 50 uM T16Ainh-A01; HCO3 high/low-Cl","37","initial reuptake slope","genetically isolated AE4 regulatory hierarchy","IPR increases activity; H89 prevents increase","qualitative","NA","SD; numeric means not tabulated","12;11;7","experiments","Figure 1C","qualitative_reported","hard_regulatory_hierarchy","H89 is nonselective; supports a PKA-dependent mechanism rather than direct phosphorylation."
"C21_FORSKOLIN_GAIN","P21","10.1152/ajpgi.00145.2021","CALIBRATION_REGULATION_SENSITIVITY","MEASUREMENT_AND_CONFLICTING_APPROXIMATE_REPORT","heterologous CHO-K1","cell culture","mouse construct","Ae4-transfected","BCECF initial alkalinization slope","10 uM forskolin versus control","HCO3 high/low-Cl; pH 7.4","37","initial low-Cl slope after treatment","forskolin-associated AE4 activity gain","prose approximately 1.25-fold; visual figure read approximately 1.7-fold (about 0.36 to 0.63 pH x10^-3 s^-1)","fold","not recoverable","SD bars; raw values unavailable","40;39","cells nested within at least 3 electroporations","Figure 2 and Discussion","internally_discrepant_approximation","qualitative_direction_and_sensitivity_only_not_point_fit","Preserve the prose-versus-figure discrepancy. Neither value is an exact target or universal capacity multiplier. No activation onset or cAMP trace was measured."
"C21_FORSKOLIN_H89","P21","10.1152/ajpgi.00145.2021","CALIBRATION_REGULATION","MEASUREMENT","heterologous CHO-K1","cell culture","mouse construct","Ae4-transfected","BCECF initial alkalinization slope","10 uM forskolin + 10 uM H89","HCO3 high/low-Cl; pH 7.4","37","initial low-Cl slope after treatment","H89 effect on forskolin response","prevents forskolin increase","qualitative","NA","SD; numeric mean not tabulated","41","cells","Figure 2","qualitative_reported","hard_regulatory_hierarchy","H89 is nonselective."
"C21_PKAC_BCECF","P21","10.1152/ajpgi.00145.2021","CALIBRATION_REGULATION","MEASUREMENT","heterologous CHO-K1","cell culture","mouse construct","Ae4 + constitutively active PKAc versus Ae4 + K73M dominant-negative PKAc","BCECF initial alkalinization slope","PKA construct coexpression 18-20 h","HCO3 high/low-Cl; pH 7.4","37","initial low-Cl slope","PKAc effect on HCO3-linked AE4 readout","PKAc greater than K73M; p<0.005","qualitative","NA","SD; numeric means not tabulated","18;16","cells","Figure 3A-B","qualitative_reported","regulatory_direction_gate","Long coexpression contrast supplies no acute activation rate."
"C21_PKAC_SPQ","P21","10.1152/ajpgi.00145.2021","CALIBRATION_REGULATION","MEASUREMENT","heterologous CHO-K1","cell culture","mouse construct","Ae4 + constitutively active PKAc versus Ae4 + K73M dominant-negative PKAc","SPQ initial Cl-efflux slope","PKA construct coexpression 18-20 h","high/low-Cl protocol","37","initial low-Cl slope","PKAc effect on Cl-linked AE4 readout","PKAc greater than K73M; p<0.005","qualitative","NA","SD; numeric means not tabulated","8;9","cells","Figure 3C-D","qualitative_reported","regulatory_direction_gate","PKA constructs alone generated no substantial response."
"C18_APICAL_K_TOPOLOGY","A18","10.1007/s00424-018-2109-0","CALIBRATION_TOPOLOGY","MEASUREMENT_AND_INFERENCE","native single acinar cells","parotid gland","not recoverable from accessible abstract","not recoverable","single-cell electrophysiology plus local Ca imaging","Ca photolysis close to apical membrane","exact bath not recoverable from accessible primary record","not recoverable","local flash response","functional apical Ca-activated K current","significant K current triggered","qualitative","not recoverable","not recoverable","not recoverable","not recoverable","Abstract","qualitative_reported","hard_nonzero_topology_gate","Supports nonzero apical K pathway; does not measure a conductance fraction and is parotid rather than SMG."
"C18_APICAL_PUMP_TOPOLOGY","A18","10.1007/s00424-018-2109-0","CALIBRATION_TOPOLOGY","MEASUREMENT_AND_INFERENCE","native acinar localization","parotid gland","not recoverable from accessible abstract","not recoverable","Na/K-ATPase immunolocalization","rest","exact preparation not recoverable from accessible primary record","not recoverable","fixed localization image","pump distribution","labeling throughout plasma membrane including apical pole","qualitative","not recoverable","not recoverable","not recoverable","not recoverable","Abstract and official Supplementary Figure 1","qualitative_reported","hard_nonzero_topology_gate","No quantitative apical functional fraction was measured in the accessible record. The supplement's 30:70 split is a model choice."
"C15_ISOLATED_EXCHANGER_IPR_CONTROL","P15","10.1074/jbc.M114.612895","CALIBRATION_WT_BETA_ARM","MEASUREMENT","native isolated acini","submandibular gland","mouse","source control acini","SPQ inhibitor-isolated exchanger uptake","without versus with 5 uM isoproterenol","50 uM bumetanide + 50 uM T16Ainh-A01; source high/low-Cl HCO3 protocol","37","initial uptake slope","isolated exchanger uptake","without IPR 1.56; with IPR 4.33","x10^-3 s^-1","without 0.19; with 0.91","SEM","10;13","experiments","Results text after Figure 5","exact_reported","fit_or_gate_context_specific_beta_response","p=0.016. Endpoint assay contrast only; it does not identify cAMP/PKA activation kinetics or a universal gain."
