variant_id,root_id,parameter,value,unit,tier,provenance,fit_status,note
G2_ASYMMETRIC_APICAL_K_HEAVY_G10,G2_ASYMMETRIC_APICAL_K_HEAVY_G10:M00,ae4_carrier_amount_fmol_at_unit_rate_gauge,0.24714767282610198,fmol carrier,2,NEW_MODELING_DECISION,FITTED_WT_ONLY,WT-rest composite; attempt rates fixed at the declared 1 s^-1 gauge; amount/rate split unidentifiable
G2_ASYMMETRIC_APICAL_K_HEAVY_G10,G2_ASYMMETRIC_APICAL_K_HEAVY_G10:M00,nhe1_capacity_fmol_s,0.01067646507979844,fmol s^-1,2,NEW_MODELING_DECISION,FITTED_WT_ONLY,WT-rest acid-base closure only
G2_ASYMMETRIC_APICAL_K_HEAVY_G10,G2_ASYMMETRIC_APICAL_K_HEAVY_G10:M00,common_membrane_conductance_scale,10.0,dimensionless,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,profiled fixed voltage-gate axis; not identified
G2_ASYMMETRIC_APICAL_K_HEAVY_G10,G2_ASYMMETRIC_APICAL_K_HEAVY_G10:M00,cell_other_impermeant_osmoles_fmol,127.41256306288375,fmol osmoles,3,NEW_MODELING_DECISION,FITTED_WT_ONLY,OTHER pool; excludes explicit finite buffer
G2_ASYMMETRIC_APICAL_K_HEAVY_G10,G2_ASYMMETRIC_APICAL_K_HEAVY_G10:M00,mixed_bath_na_attempt_fraction,0.05,fraction,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,unmeasured native mixed-bath routing
G2_ASYMMETRIC_APICAL_K_HEAVY_G10,G2_ASYMMETRIC_APICAL_K_HEAVY_G10:M00,apical_pump_fraction,0.1,fraction,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,localization supported; fraction unmeasured
G2_ASYMMETRIC_APICAL_K_HEAVY_G10,G2_ASYMMETRIC_APICAL_K_HEAVY_G10:M00,apical_k_fraction,0.3,fraction,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,apical current supported; fraction unmeasured
G2_ASYMMETRIC_APICAL_K_BIASED_G10,G2_ASYMMETRIC_APICAL_K_BIASED_G10:M00,ae4_carrier_amount_fmol_at_unit_rate_gauge,0.14731846060466625,fmol carrier,2,NEW_MODELING_DECISION,FITTED_WT_ONLY,WT-rest composite; attempt rates fixed at the declared 1 s^-1 gauge; amount/rate split unidentifiable
G2_ASYMMETRIC_APICAL_K_BIASED_G10,G2_ASYMMETRIC_APICAL_K_BIASED_G10:M00,nhe1_capacity_fmol_s,0.007385376188473507,fmol s^-1,2,NEW_MODELING_DECISION,FITTED_WT_ONLY,WT-rest acid-base closure only
G2_ASYMMETRIC_APICAL_K_BIASED_G10,G2_ASYMMETRIC_APICAL_K_BIASED_G10:M00,common_membrane_conductance_scale,10.0,dimensionless,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,profiled fixed voltage-gate axis; not identified
G2_ASYMMETRIC_APICAL_K_BIASED_G10,G2_ASYMMETRIC_APICAL_K_BIASED_G10:M00,cell_other_impermeant_osmoles_fmol,124.68305555975344,fmol osmoles,3,NEW_MODELING_DECISION,FITTED_WT_ONLY,OTHER pool; excludes explicit finite buffer
G2_ASYMMETRIC_APICAL_K_BIASED_G10,G2_ASYMMETRIC_APICAL_K_BIASED_G10:M00,mixed_bath_na_attempt_fraction,0.1,fraction,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,unmeasured native mixed-bath routing
G2_ASYMMETRIC_APICAL_K_BIASED_G10,G2_ASYMMETRIC_APICAL_K_BIASED_G10:M00,apical_pump_fraction,0.1,fraction,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,localization supported; fraction unmeasured
G2_ASYMMETRIC_APICAL_K_BIASED_G10,G2_ASYMMETRIC_APICAL_K_BIASED_G10:M00,apical_k_fraction,0.3,fraction,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,apical current supported; fraction unmeasured
G2_ASYMMETRIC_APICAL_MODERATE_NA_G10,G2_ASYMMETRIC_APICAL_MODERATE_NA_G10:M00,ae4_carrier_amount_fmol_at_unit_rate_gauge,0.09531153939146594,fmol carrier,2,NEW_MODELING_DECISION,FITTED_WT_ONLY,WT-rest composite; attempt rates fixed at the declared 1 s^-1 gauge; amount/rate split unidentifiable
G2_ASYMMETRIC_APICAL_MODERATE_NA_G10,G2_ASYMMETRIC_APICAL_MODERATE_NA_G10:M00,nhe1_capacity_fmol_s,0.0019133722193785286,fmol s^-1,2,NEW_MODELING_DECISION,FITTED_WT_ONLY,WT-rest acid-base closure only
G2_ASYMMETRIC_APICAL_MODERATE_NA_G10,G2_ASYMMETRIC_APICAL_MODERATE_NA_G10:M00,common_membrane_conductance_scale,10.0,dimensionless,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,profiled fixed voltage-gate axis; not identified
G2_ASYMMETRIC_APICAL_MODERATE_NA_G10,G2_ASYMMETRIC_APICAL_MODERATE_NA_G10:M00,cell_other_impermeant_osmoles_fmol,120.11997463256479,fmol osmoles,3,NEW_MODELING_DECISION,FITTED_WT_ONLY,OTHER pool; excludes explicit finite buffer
G2_ASYMMETRIC_APICAL_MODERATE_NA_G10,G2_ASYMMETRIC_APICAL_MODERATE_NA_G10:M00,mixed_bath_na_attempt_fraction,0.2,fraction,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,unmeasured native mixed-bath routing
G2_ASYMMETRIC_APICAL_MODERATE_NA_G10,G2_ASYMMETRIC_APICAL_MODERATE_NA_G10:M00,apical_pump_fraction,0.1,fraction,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,localization supported; fraction unmeasured
G2_ASYMMETRIC_APICAL_MODERATE_NA_G10,G2_ASYMMETRIC_APICAL_MODERATE_NA_G10:M00,apical_k_fraction,0.3,fraction,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,apical current supported; fraction unmeasured
