family,basal_capacity_multiplier,endpoint_capacity_multiplier,t10_s,t50_s,t90_s,kinetic_fit_status,evidence_limit,member_id,gain_label,fully_activated_multiplier,timing_label,timing_parameters,kinetic_evidence_status,regulatory_model_class
R0,1.0,1.7,1e-06,1e-06,1e-06,UNIDENTIFIED_SENSITIVITY_NOT_FIT,P21 contains no acute beta-to-cAMP/PKA/AE4 onset trace,R0_G170_P21_FIGURE_VISUAL_STATIC,G170_P21_FIGURE_VISUAL,1.7,STATIC,{},STATIC_NEGATIVE_CONTROL,R0Static
R1,1.0,1.6999999999999997,5.0,10.0,25.0,UNIDENTIFIED_SENSITIVITY_NOT_FIT,P21 contains no acute beta-to-cAMP/PKA/AE4 onset trace,R1_G170_P21_FIGURE_VISUAL_TFAST,G170_P21_FIGURE_VISUAL,1.7,TFAST,{'tau_activation_s': 10.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation
R2,1.0,1.6999999999999997,5.0,15.0,30.0,UNIDENTIFIED_SENSITIVITY_NOT_FIT,P21 contains no acute beta-to-cAMP/PKA/AE4 onset trace,R2_G170_P21_FIGURE_VISUAL_TFAST,G170_P21_FIGURE_VISUAL,1.7,TFAST,"{'tau_camp_s': 3.0, 'tau_activation_s': 10.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R2CampActivation
R3,1.0,1.6999999999999997,5.0,15.0,30.0,UNIDENTIFIED_SENSITIVITY_NOT_FIT,P21 contains no acute beta-to-cAMP/PKA/AE4 onset trace,R3_G170_P21_FIGURE_VISUAL_TFAST,G170_P21_FIGURE_VISUAL,1.7,TFAST,"{'tau_pka_s': 3.0, 'forward_regulation_rate_s': 0.1, 'reverse_regulation_rate_s': 0.1}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R3PkaRegulatedFraction
R1,1.0,1.6999999985571925,5.0,25.0,70.0,UNIDENTIFIED_SENSITIVITY_NOT_FIT,P21 contains no acute beta-to-cAMP/PKA/AE4 onset trace,R1_G170_P21_FIGURE_VISUAL_TREFERENCE,G170_P21_FIGURE_VISUAL,1.7,TREFERENCE,{'tau_activation_s': 30.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation
R2,1.0,1.6999999978357885,10.0,35.0,85.0,UNIDENTIFIED_SENSITIVITY_NOT_FIT,P21 contains no acute beta-to-cAMP/PKA/AE4 onset trace,R2_G170_P21_FIGURE_VISUAL_TREFERENCE,G170_P21_FIGURE_VISUAL,1.7,TREFERENCE,"{'tau_camp_s': 10.0, 'tau_activation_s': 30.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R2CampActivation
R3,1.0,1.6999999978357885,10.0,35.0,85.0,UNIDENTIFIED_SENSITIVITY_NOT_FIT,P21 contains no acute beta-to-cAMP/PKA/AE4 onset trace,R3_G170_P21_FIGURE_VISUAL_TREFERENCE,G170_P21_FIGURE_VISUAL,1.7,TREFERENCE,"{'tau_pka_s': 10.0, 'forward_regulation_rate_s': 0.03333333333333333, 'reverse_regulation_rate_s': 0.03333333333333333}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R3PkaRegulatedFraction
R1,1.0,1.6952834370613317,15.0,85.0,270.0,UNIDENTIFIED_SENSITIVITY_NOT_FIT,P21 contains no acute beta-to-cAMP/PKA/AE4 onset trace,R1_G170_P21_FIGURE_VISUAL_TSLOW,G170_P21_FIGURE_VISUAL,1.7,TSLOW,{'tau_activation_s': 120.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation
R2,1.0,1.6937112498960443,35.0,115.0,305.0,UNIDENTIFIED_SENSITIVITY_NOT_FIT,P21 contains no acute beta-to-cAMP/PKA/AE4 onset trace,R2_G170_P21_FIGURE_VISUAL_TSLOW,G170_P21_FIGURE_VISUAL,1.7,TSLOW,"{'tau_camp_s': 30.0, 'tau_activation_s': 120.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R2CampActivation
R3,1.0,1.6937112498960443,35.0,115.0,305.0,UNIDENTIFIED_SENSITIVITY_NOT_FIT,P21 contains no acute beta-to-cAMP/PKA/AE4 onset trace,R3_G170_P21_FIGURE_VISUAL_TSLOW,G170_P21_FIGURE_VISUAL,1.7,TSLOW,"{'tau_pka_s': 30.0, 'forward_regulation_rate_s': 0.008333333333333333, 'reverse_regulation_rate_s': 0.008333333333333333}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R3PkaRegulatedFraction
