constraint_id,experimental_mean,SE,n,units,genotype,protocol,observation_operator,prediction,standardised_residual,status,reason,scored
ae2_table1/rest_Cl_i/control,53.4,1.8,6,mM,control,rest_Cl_i,genotype specific stationary concentration,57.85495030913425,2.4749723939634745,conditional_B_plus_projection,one shared WT trajectory represents both strain controls; source bath projection qualification,True
ae2_table1/rest_Cl_i/AE2_KO,54.5,1.8,6,mM,AE2_KO,rest_Cl_i,genotype specific stationary concentration,57.89058907592337,1.883660597735207,conditional_B_plus_projection,one shared WT trajectory represents both strain controls; source bath projection qualification,True
ae2_table1/rest_pH_i/control,6.87,0.01,4,pH,control,rest_pH_i,stationary carbonate pH,6.883124544391061,1.3124544391060589,conditional_B_plus_projection,one shared WT trajectory represents both strain controls; source bath projection qualification,True
ae2_table1/rest_pH_i/AE2_KO,6.95,0.05,6,pH,AE2_KO,rest_pH_i,stationary carbonate pH,6.8813329053712105,-1.3733418925757945,conditional_B_plus_projection,one shared WT trajectory represents both strain controls; source bath projection qualification,True
ae2_table1/initial_Cl_exit_CCh_IPR/control,-0.16,0.02,13,SPQ_deltaF,control,initial_Cl_exit_CCh_IPR,F0/F amplitude or source recovery regression slope,,,unavailable,individual fluorescence calibration and source fitting windows unavailable; do not equate flux and signal,False
ae2_table1/initial_Cl_exit_CCh_IPR/AE2_KO,-0.15,0.01,18,SPQ_deltaF,AE2_KO,initial_Cl_exit_CCh_IPR,F0/F amplitude or source recovery regression slope,,,unavailable,individual fluorescence calibration and source fitting windows unavailable; do not equate flux and signal,False
ae2_table1/initial_Cl_exit_CCh/control,-0.14,0.02,8,SPQ_deltaF,control,initial_Cl_exit_CCh,F0/F amplitude or source recovery regression slope,,,unavailable,individual fluorescence calibration and source fitting windows unavailable; do not equate flux and signal,False
ae2_table1/initial_Cl_exit_CCh/AE2_KO,-0.17,0.02,9,SPQ_deltaF,AE2_KO,initial_Cl_exit_CCh,F0/F amplitude or source recovery regression slope,,,unavailable,individual fluorescence calibration and source fitting windows unavailable; do not equate flux and signal,False
ae2_table1/initial_Cl_uptake_CCh_IPR/control,2.11,0.5,13,1e-3_s-1,control,initial_Cl_uptake_CCh_IPR,F0/F amplitude or source recovery regression slope,,,unavailable,individual fluorescence calibration and source fitting windows unavailable; do not equate flux and signal,False
ae2_table1/initial_Cl_uptake_CCh_IPR/AE2_KO,2.39,0.2,18,1e-3_s-1,AE2_KO,initial_Cl_uptake_CCh_IPR,F0/F amplitude or source recovery regression slope,,,unavailable,individual fluorescence calibration and source fitting windows unavailable; do not equate flux and signal,False
ae2_table1/initial_Cl_uptake_CCh/control,2.2,0.2,8,1e-3_s-1,control,initial_Cl_uptake_CCh,F0/F amplitude or source recovery regression slope,,,unavailable,individual fluorescence calibration and source fitting windows unavailable; do not equate flux and signal,False
ae2_table1/initial_Cl_uptake_CCh/AE2_KO,2.3,0.2,9,1e-3_s-1,AE2_KO,initial_Cl_uptake_CCh,F0/F amplitude or source recovery regression slope,,,unavailable,individual fluorescence calibration and source fitting windows unavailable; do not equate flux and signal,False
ae2_table1/initial_Cl_uptake_IPR/control,0.7,0.1,7,1e-3_s-1,control,initial_Cl_uptake_IPR,F0/F amplitude or source recovery regression slope,,,unavailable,individual fluorescence calibration and source fitting windows unavailable; do not equate flux and signal,False
ae2_table1/initial_Cl_uptake_IPR/AE2_KO,0.58,0.05,6,1e-3_s-1,AE2_KO,initial_Cl_uptake_IPR,F0/F amplitude or source recovery regression slope,,,unavailable,individual fluorescence calibration and source fitting windows unavailable; do not equate flux and signal,False
whole_gland/AE4_10min_deficit,35.0,4.7,6 WT; 6 KO,percent,AE4_KO,CCH_IPR_600s,100*(1-integral(q_KO)/integral(q_WT)),-0.5083871966769182,-7.554975999292962,conditional_gland_ratio,shared acinus to gland water scale; effective B+ bath; no fit,True
HCO3/AE4/WT,5.3,1.4,7,microequiv,WT,CCH_IPR_600s,whole gland bicarbonate amount,,,retained_via_ratio,no independently known acinus to gland scale; do not score twice,False
HCO3/AE4/AE4_KO,7.1,0.8,7,microequiv,AE4_KO,CCH_IPR_600s,whole gland bicarbonate amount,,,retained_via_ratio,no independently known acinus to gland scale; do not score twice,False
HCO3/AE4/ratio,1.3396226415094339,0.38471110928660623,,ratio,AE4_KO,CCH_IPR_600s,ratio of integral(q*[HCO3]_l); Gaussian scale profile residual,1.0146767329724848,-1.056362878931028,conditional_gland_ratio,"independent group mean errors; SE column uses ratio delta approximation, residual profiles the unknown common scale; duct transfer unmodelled",True
HCO3/AE2/control,4.0,0.4,5,microequiv,control,CCH_IPR_600s,whole gland bicarbonate amount,,,retained_via_ratio,no independently known acinus to gland scale; do not score twice,False
HCO3/AE2/AE2_KO,6.3,1.8,6,microequiv,AE2_KO,CCH_IPR_600s,whole gland bicarbonate amount,,,retained_via_ratio,no independently known acinus to gland scale; do not score twice,False
HCO3/AE2/ratio,1.575,0.4767664522593846,,ratio,AE2_KO,CCH_IPR_600s,ratio of integral(q*[HCO3]_l); Gaussian scale profile residual,0.999958472952789,-1.2474426549925552,conditional_gland_ratio,"independent group mean errors; SE column uses ratio delta approximation, residual profiles the unknown common scale; duct transfer unmodelled",True
isolated_NKCC1/bumetanide,95.6,0.9,9,percent,,NKCC_ISOLATION_BUMETANIDE,SPQ uptake reduction,,,unavailable,CA inhibition and absent bicarbonate not representable; NKCC bath dependence absent,False
isolated_exchanger/reduction/AE4_KO,38.2,6.6,8,percent,AE4_KO,EXCHANGER_ISOLATION,normalised SPQ slope reduction,,,unavailable,"conditioning, optical map and exact slope windows unavailable",False
isolated_exchanger/reduction/AE2_KO,55.1,3.4,10,percent,AE2_KO,EXCHANGER_ISOLATION,normalised SPQ slope reduction,,,unavailable,"conditioning, optical map and exact slope windows unavailable",False
isolated_exchanger/reduction/AE4_AE2_double_KO,87.7,3.1,6,percent,AE4_AE2_double_KO,EXCHANGER_ISOLATION,normalised SPQ slope reduction,,,unavailable,"conditioning, optical map and exact slope windows unavailable",False
isolated_exchanger/IPR/control_no_IPR,1.56,0.19,10,1e-3 s^-1,control_no_IPR,EXCHANGER_IPR,normalised SPQ uptake,,,unavailable,isolated assay conditioning and exposure time unavailable; existing gain not fitted from saliva,False
isolated_exchanger/IPR/control_plus_IPR,4.33,0.91,13,1e-3 s^-1,control_plus_IPR,EXCHANGER_IPR,normalised SPQ uptake,,,unavailable,isolated assay conditioning and exposure time unavailable; existing gain not fitted from saliva,False
isolated_exchanger/IPR/AE4_KO_no_IPR,0.95,0.1,8,1e-3 s^-1,AE4_KO_no_IPR,EXCHANGER_IPR,normalised SPQ uptake,,,unavailable,isolated assay conditioning and exposure time unavailable; existing gain not fitted from saliva,False
isolated_exchanger/IPR/AE4_KO_plus_IPR,1.08,0.09,9,1e-3 s^-1,AE4_KO_plus_IPR,EXCHANGER_IPR,normalised SPQ uptake,,,unavailable,isolated assay conditioning and exposure time unavailable; existing gain not fitted from saliva,False
isolated_exchanger/Na_present,1.35,0.16,7,1e-3 s^-1,AE2_KO,EXCHANGER_NA_FREE,normalised SPQ uptake,,,unavailable,exact sodium absent condition outside constitutive domain; no numerical epsilon substituted,False
isolated_exchanger/Na_free,0.51,0.09,7,1e-3 s^-1,AE2_KO,EXCHANGER_NA_FREE,normalised SPQ uptake,,,unavailable,exact sodium absent condition outside constitutive domain; no numerical epsilon substituted,False
additional/isolated_Cl_uptake_reduction_with_NKCC_and_Tmem16A_block,74.0,2.6,,percent,,source specified assay,source fluorescence observation,,,unavailable,"Joint inhibition in depletion/readdition assay, not NKCC alone.; no fabricated numerical mapping",False
additional/isolated_Cl_uptake_reduction_with_blockers_and_HCO3_free,96.3,1.4,,percent,,source specified assay,source fluorescence observation,,,unavailable,Source phrase says reduced to 96.3% of control but context means a 96.3% reduction (near absence); do not use as a hard numerical constraint without checking figure or raw data.; no fabricated numerical mapping,False
additional/initial_Cl_exit_IPR_only,,,,qualitative,,source specified assay,source fluorescence observation,,,unavailable,No initial Cl exit detected; relatively slow net uptake observed.; no fabricated numerical mapping,False
