record_type,candidate_id,gauge_id,scenario,target_id,quantity,status,value,uncertainty,unit,wt_capacity_valid,wt_gate2_pass,round5_independently_calibrated,endpoint_ko_wt_ratio,integral_ko_wt_ratio,first_2_3_min_status,sustained_late_status,absolute_wt_status,ae2_status,ionic_status,solver_status,physical_time_certified,pka_kinetics_certified,carrier_state_memory,strict_target_used_in_fit,strict_target_joined_to_prediction,provenance,reason
code_diagnostic,AE4_NULL_COMMON,candidate_independent,ae4_knockout,,endpoint_q_total,diagnostic_only_invalid_denominator,0.001358119887856349,,chassis_native_flow,false,false,false,,,not_applicable,not_applicable,not_certified,not_applicable,fail,Radau_pass,false,false,false,false,false,"ZeroAE4 common root; rtol=1e-8; atol=1e-10; 452-point code grid","KO-only Radau result has no WT denominator and is not a secretion prediction"
code_diagnostic,AE4_NULL_COMMON,candidate_independent,ae4_knockout,,endpoint_q_total,diagnostic_only_invalid_denominator,0.001358119887848080,,chassis_native_flow,false,false,false,,,not_applicable,not_applicable,not_certified,not_applicable,fail,BDF_pass,false,false,false,false,false,"ZeroAE4 common root; rtol=1e-8; atol=1e-10; 452-point code grid","KO-only BDF crosscheck has no WT denominator and is not a secretion prediction"
code_diagnostic,AE4_NULL_COMMON,candidate_independent,ae4_knockout,,post_step_integral,diagnostic_only_invalid_denominator,0.1369138922591171,,chassis_native_flow_x_code_time,false,false,false,,,not_applicable,not_applicable,not_certified,not_applicable,fail,Radau_pass,false,false,false,false,false,"ZeroAE4 common root; trapezoid over t_code>100","not a 10-minute secretion total because physical time and absolute flow are uncertified"
code_diagnostic,AE4_NULL_COMMON,candidate_independent,ae4_knockout,,post_step_integral,diagnostic_only_invalid_denominator,0.1369138922228804,,chassis_native_flow_x_code_time,false,false,false,,,not_applicable,not_applicable,not_certified,not_applicable,fail,BDF_pass,false,false,false,false,false,"ZeroAE4 common root; trapezoid over t_code>100","not a 10-minute secretion total because physical time and absolute flow are uncertified"
solver_crosscheck,AE4_NULL_COMMON,candidate_independent,ae4_knockout,,max_state_difference,diagnostic_only_invalid_denominator,2.363048707820781e-6,,mixed_native_state_units,false,false,false,,,not_applicable,not_applicable,not_certified,not_applicable,fail,Radau_vs_BDF_pass,false,false,false,false,false,"same 452-point grid; rtol=1e-8; atol=1e-10","numerical reproducibility only; mixed-state maximum is not a physical norm"
solver_crosscheck,AE4_NULL_COMMON,candidate_independent,ae4_knockout,,max_q_total_difference,diagnostic_only_invalid_denominator,1.281378036338023e-9,,chassis_native_flow,false,false,false,,,not_applicable,not_applicable,not_certified,not_applicable,fail,Radau_vs_BDF_pass,false,false,false,false,false,"same 452-point grid; rtol=1e-8; atol=1e-10","numerical reproducibility only"
heldout_target_reference,,,ae4_knockout,E15-02,ten_min_total_loss,reference_only_unjoined,0.35,0.047,fraction_of_WT,,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,,false,false,"2015 Results and Fig. 1A inset; n=6 glands/genotype; mean +/- SEM","primary experimental endpoint; never passed to calibration or a solver"
heldout_target_reference,,,ae4_knockout,E15-02,ten_min_total_KO_WT_complement,reference_only_unjoined,0.65,0.047,ratio,,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,,false,false,"algebraic complement of the reported 35 +/- 4.7 percent loss","ratio and SEM were not separately fitted by the paper"
context_not_target,,,,E15-02_ROUNDED_2018,rounded_loss_wording,not_an_experimental_endpoint,0.30,,approximate_fraction,,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,,false,false,"Vera-Siguenza 2018 narrative restatement of the 2015 phenotype","must not replace the primary 35 +/- 4.7 percent 10-minute total"
heldout_target_reference,,,ae4_knockout,E15-03,first_2_3_min_shape,reference_only_unjoined,comparable,,qualitative,,,,,,target_comparable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,,false,false,"2015 Results and frozen raster digitization","cannot be scored without a physical code-time-to-minute map"
heldout_target_reference,,,ae4_knockout,E15-03,sustained_late_shape,reference_only_unjoined,less_than_half_late,,qualitative,,,,,,not_applicable,target_sustained_deficit,not_applicable,not_applicable,not_applicable,not_applicable,,,,false,false,"2015 Results and frozen raster digitization","pointwise late statement is not the integrated 35 percent endpoint"
