model_id,gauge_id,na_attempt_scale,k_attempt_scale,common_barrier_multiplier,na_loaded_energy_lump_mM,k_loaded_energy_lump_mM,pka_barrier_fold,na_ec50_pred_mM,na_hill_pred,k_ec50_pred_mM,k_hill_pred,pure_k_to_na_amplitude_ratio,assay_background_na,assay_background_k,assay_common_scale,mapped_na_rmax,mapped_k_rmax,double_mutant_na_to_wt,double_mutant_k_to_wt,pka_effective_fold,na_transported,k_transported,electroneutral,ldb_pass,mutant_hierarchy_pass,dose_shape_status,regulation_status,transporter_gate_pass,n_lumped_parameters,complexity_penalty,n_fitted_numeric_parameters,n_fixed_assay_nuisance_values,n_discrete_gauge_choices,model_comparison_interpretation,calibration_target_ids,heldout_target_read,context_assumption,failure_reason
SR2_SHARED_123,unit_common,1.0,0.010552683458064309,1.0,242597.35918204396,24921.06069606912,1.25,416.3362351170086,2.1561841732057654,416.33735155484055,2.156178284667759,1.0000001025980207,0.3,0.4,953285.437401925,1.4999999384411875,1.6000000615588061,0.0,0.5000765698103693,nan,True,True,True,True,True,not compatible with both reported effective Hill shapes under declared context,unregulated core; requires nested SR6 before stimulated claim,False,4,4,4,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,effective dose shape mismatch
SR2_SHARED_123,fast_common,1.0,0.010554746296552054,10.0,357269.80341499887,36704.53357655507,1.25,416.3362094830976,2.156184313980688,416.3367244615958,2.156181597960278,1.000000101395532,0.3,0.4,2067489.819826597,1.4999999391626808,1.600000060837313,0.0,0.5000764979541278,nan,True,True,True,True,True,not compatible with both reported effective Hill shapes under declared context,unregulated core; requires nested SR6 before stimulated claim,False,4,4,4,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,effective dose shape mismatch
SR2_SHARED_213,slow_common,1.0,0.99999953647111,0.1,499.99999999999983,499.99999999999983,1.25,999.999999999998,1.017695759428589,999.999999999998,1.0176957881320499,0.9999996252772859,0.3,0.4,6.253180865766934,1.5000002248336286,1.5999997751662876,0.0,0.5250518499595807,nan,True,True,True,True,True,not compatible with both reported effective Hill shapes under declared context,unregulated core; requires nested SR6 before stimulated claim,False,4,4,4,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,effective dose shape mismatch
SR2_SHARED_213,unit_common,1.0,0.9999986338323963,1.0,499.99999999999983,499.99999999999983,1.25,999.9999999999989,1.0672175983324117,999.9999999999989,1.0672176236654474,0.999998709104855,0.3,0.4,5.3709299443156375,1.500000774537087,1.599999225461913,0.0,0.5066639011346377,nan,True,True,True,True,True,not compatible with both reported effective Hill shapes under declared context,unregulated core; requires nested SR6 before stimulated claim,False,4,4,4,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,effective dose shape mismatch
SR2_SHARED_213,fast_common,1.0,0.005334724265005667,10.0,7660.6985199515,7.489751625365554,1.25,999.9999999999989,1.090178989114189,241.98113445374204,1.0028762649954124,0.9999983853960299,0.3,0.4,76.72192174826397,1.5000009687623823,1.5999990312360541,0.0,0.5024927090691359,nan,True,True,True,True,True,not compatible with both reported effective Hill shapes under declared context,unregulated core; requires nested SR6 before stimulated claim,False,4,4,4,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,effective dose shape mismatch
SR3_SEQUENTIAL_1111,slow_common,1.0,1.0,0.1,499.99999999999983,499.99999999999983,1.25,nan,nan,1.4618519473812868,1.1283601095599576,nan,0.3,0.4,nan,nan,nan,nan,1.0,nan,True,True,True,True,False,not compatible with both reported effective Hill shapes under declared context,unregulated core; requires nested SR6 before stimulated claim,False,4,4,4,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,effective dose shape mismatch; cannot express Na-collapse/K-retention mutant limit; stand-alone sequential cycle conflicts with direct Na direction/K-only operation
SR3_SEQUENTIAL_1111,unit_common,1.0,1.0,1.0,499.99999999999983,499.99999999999983,1.25,nan,nan,1.4618519473812868,1.1283601095599576,nan,0.3,0.4,nan,nan,nan,nan,1.0,nan,True,True,True,True,False,not compatible with both reported effective Hill shapes under declared context,unregulated core; requires nested SR6 before stimulated claim,False,4,4,4,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,effective dose shape mismatch; cannot express Na-collapse/K-retention mutant limit; stand-alone sequential cycle conflicts with direct Na direction/K-only operation
SR3_SEQUENTIAL_1111,fast_common,1.0,1.0,10.0,499.99999999999983,499.99999999999983,1.25,nan,nan,1.4618519473812868,1.1283601095599576,nan,0.3,0.4,nan,nan,nan,nan,1.0,nan,True,True,True,True,False,not compatible with both reported effective Hill shapes under declared context,unregulated core; requires nested SR6 before stimulated claim,False,4,4,4,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,effective dose shape mismatch; cannot express Na-collapse/K-retention mutant limit; stand-alone sequential cycle conflicts with direct Na direction/K-only operation
SR4A_CARBONATE_111,slow_common,1.0,1.002556841379679,0.1,27.485574593235263,40.89856488309173,1.25,48.99524184299393,1.1122867890125137,61.893117120251134,1.1333499324998773,1.0000001365495228,0.3,0.4,9.997964703618965,1.4999999180702863,1.6000000819297027,0.0,0.8683405562434157,nan,True,True,True,True,True,not compatible with both reported effective Hill shapes under declared context,unregulated core; requires nested SR6 before stimulated claim,False,4,4,4,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,effective dose shape mismatch
SR4A_CARBONATE_111,unit_common,1.0,0.9214528445961541,1.0,9.525804914559084,13.39906120587942,1.25,49.196933522258284,1.109559686532736,63.758331386792406,1.1324975621492515,0.999999054799497,0.3,0.4,5.098442150586384,1.5000005671203018,1.5999994328791622,0.0,0.8572396994270313,nan,True,True,True,True,True,not compatible with both reported effective Hill shapes under declared context,unregulated core; requires nested SR6 before stimulated claim,False,4,4,4,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,effective dose shape mismatch
SR4A_CARBONATE_111,fast_common,1.0,0.13704929122777124,10.0,1718.9344671715946,12.981722020074335,1.25,353.95363847596025,1.286412754846465,95.51972351036514,1.0919198364323306,0.9999987791013428,0.3,0.4,21.749054854901555,1.5000007325391944,1.5999992674599115,0.0,0.8154391424345581,nan,True,True,True,True,True,not compatible with both reported effective Hill shapes under declared context,unregulated core; requires nested SR6 before stimulated claim,False,4,4,4,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,effective dose shape mismatch
SR4B_CARBONATE_1112,slow_common,1.0,1.0,0.1,499.99999999999983,499.99999999999983,1.25,nan,nan,4.158120544544553,2.0038315984569253,nan,0.3,0.4,nan,nan,nan,nan,1.0,nan,True,True,True,True,False,not compatible with both reported effective Hill shapes under declared context,unregulated core; requires nested SR6 before stimulated claim,False,4,4,4,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,effective dose shape mismatch; cannot express Na-collapse/K-retention mutant limit; stand-alone sequential cycle conflicts with direct Na direction/K-only operation
SR4B_CARBONATE_1112,unit_common,1.0,1.0,1.0,499.99999999999983,499.99999999999983,1.25,nan,nan,4.158120544544553,2.0038315984569253,nan,0.3,0.4,nan,nan,nan,nan,1.0,nan,True,True,True,True,False,not compatible with both reported effective Hill shapes under declared context,unregulated core; requires nested SR6 before stimulated claim,False,4,4,4,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,effective dose shape mismatch; cannot express Na-collapse/K-retention mutant limit; stand-alone sequential cycle conflicts with direct Na direction/K-only operation
SR4B_CARBONATE_1112,fast_common,1.0,1.0,10.0,499.99999999999983,499.99999999999983,1.25,nan,nan,4.158120544544553,2.0038315984569253,nan,0.3,0.4,nan,nan,nan,nan,1.0,nan,True,True,True,True,False,not compatible with both reported effective Hill shapes under declared context,unregulated core; requires nested SR6 before stimulated claim,False,4,4,4,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,effective dose shape mismatch; cannot express Na-collapse/K-retention mutant limit; stand-alone sequential cycle conflicts with direct Na direction/K-only operation
SR5_COORDINATION_112,slow_common,1.0,430.72781898786025,0.1,1460.471297728247,2346.8471761375345,1.25,69.64760224138213,3.2646137947133935,10.806452864848172,2.1982959258496724,1.0769813551162912,0.3,0.4,12.234799354084648,1.4539379160753894,1.642769620574942,0.0,0.9996355068004521,nan,True,True,True,True,True,not compatible with both reported effective Hill shapes under declared context,unregulated core; requires nested SR6 before stimulated claim,False,4,4,4,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,effective dose shape mismatch
SR5_COORDINATION_112,unit_common,1.0,1.0805656661011502,1.0,653.9409644818204,1049.6774200600705,1.25,49.00035120704268,2.0400952057895565,60.81639789126831,2.0523824803972333,1.0000000580116326,0.3,0.4,4.10940621468816,1.4999999651930205,1.6000000348069774,0.0,0.8525738193584428,nan,True,True,True,True,True,compatible with reported effective EC50/Hill under declared assay context,unregulated core; requires nested SR6 before stimulated claim,True,4,4,4,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,
SR5_COORDINATION_112,fast_common,1.0,1.058629531208295,10.0,573.8985487218021,912.5764246282816,1.25,49.00018781116888,2.061360326077578,61.27799724892593,2.064549406263323,0.9999990850450645,0.3,0.4,3.5621360213466224,1.5000005489729615,1.5999994510265365,0.0,0.836571315235224,nan,True,True,True,True,True,compatible with reported effective EC50/Hill under declared assay context,unregulated core; requires nested SR6 before stimulated claim,True,4,4,4,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,
SR6_PKA_EDGE_112,slow_common,1.0,430.7427518445782,0.1,1460.4712973076612,2346.847177890181,999996.1125522398,69.64844596370874,3.2646287147534316,10.806457360046164,2.198297407962343,1.0769814025794813,0.3,0.4,12.23486327106193,1.4539378878258835,1.6427696449203242,0.0,0.9996355194173218,0.0,True,True,True,True,True,not compatible with both reported effective Hill shapes under declared context,edge placement cannot attain approximately 1.25 fold within gamma<=1e6,False,5,5,5,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,effective dose shape mismatch; PKA edge placement misses the recombinant fold
SR6_PKA_EDGE_112,unit_common,1.0,1.080565671029095,1.0,653.9409644329778,1049.6774201480116,200.07370323363844,49.000351226002124,2.040095203058938,60.816397835176666,2.0523824794422314,1.0000000599177883,0.3,0.4,4.109406208283955,1.4999999640493271,1.600000035950671,0.0,0.8525738196039938,1.25000000453415,True,True,True,True,True,compatible with reported effective EC50/Hill under declared assay context,assay fold constrained,True,5,5,5,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,
SR6_PKA_EDGE_112,fast_common,1.0,1.0586295291692012,10.0,573.8985487061484,912.5764260668601,98.98514003505596,49.00018775948408,2.061360333442521,61.27799737325208,2.064549402713023,0.9999990864777593,0.3,0.4,3.562136024379969,1.5000005481133447,1.599999451886155,0.0,0.8365713151047157,1.2500000444788117,True,True,True,True,True,compatible with reported effective EC50/Hill under declared assay context,assay fold constrained,True,5,5,5,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,
SR6_PKA_COMMON_FLIP_112,slow_common,1.0,430.7427518445782,0.1,1460.4712973076612,2346.847177890181,2.046636900732795,69.64844596370874,3.2646287147534316,10.806457360046164,2.198297407962343,1.0769814025794813,0.3,0.4,12.23486327106193,1.4539378878258835,1.6427696449203242,0.0,0.9996355194173218,1.2499998253405014,True,True,True,True,True,not compatible with both reported effective Hill shapes under declared context,assay fold constrained,False,5,5,5,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,effective dose shape mismatch
SR6_PKA_COMMON_FLIP_112,unit_common,1.0,1.080565671029095,1.0,653.9409644329778,1049.6774201480116,999430.1053731851,49.000351226002124,2.040095203058938,60.816397835176666,2.0523824794422314,1.0000000599177883,0.3,0.4,4.109406208283955,1.4999999640493271,1.600000035950671,0.0,0.8525738196039938,1.0894397034042518,True,True,True,True,True,compatible with reported effective EC50/Hill under declared assay context,edge placement cannot attain approximately 1.25 fold within gamma<=1e6,False,5,5,5,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,PKA edge placement misses the recombinant fold
SR6_PKA_COMMON_FLIP_112,fast_common,1.0,1.0586295291692012,10.0,573.8985487061484,912.5764260668601,917214.5325675057,49.00018775948408,2.061360333442521,61.27799737325208,2.064549402713023,0.9999990864777593,0.3,0.4,3.562136024379969,1.5000005481133447,1.599999451886155,0.0,0.8365713151047157,1.0083833532419586,True,True,True,True,True,compatible with reported effective EC50/Hill under declared assay context,edge placement cannot attain approximately 1.25 fold within gamma<=1e6,False,5,5,5,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,PKA edge placement misses the recombinant fold
