record_type,slice,space,modules,target_vector,signature_or_response,coefficients,scaling,alignment,residual_fraction,exact,sign_constraint,rank,condition_number,provenance,interpretation
correction_family_jacobian_row,model_anchored,determined_balance_rows,h_i,"free=Na_l;K_l;height;Na_i;K_i","0;0;0.004540699571040003;0.007408224445289109;0.008024766047430687",,per_free_coordinate_native,,,numerical_local,unrestricted,,,"central finite difference relative_step=1e-5","row of 12x5 d(required source)/d(free state) matrix"
correction_family_jacobian_row,model_anchored,determined_balance_rows,na_l,"free=Na_l;K_l;height;Na_i;K_i","0.1400456408337386;0.1383723904626759;7.916402121222947e-08;-0.138010082653976;-0.1375640817487413",,per_free_coordinate_native,,,numerical_local,unrestricted,,,"central finite difference relative_step=1e-5","row of 12x5 d(required source)/d(free state) matrix"
correction_family_jacobian_row,model_anchored,determined_balance_rows,k_l,"free=Na_l;K_l;height;Na_i;K_i","0.006492730520467818;0.008269998635963101;3.711881420370392e-09;-0.006487116226728711;-0.006454845858277957",,per_free_coordinate_native,,,numerical_local,unrestricted,,,"central finite difference relative_step=1e-5","row of 12x5 d(required source)/d(free state) matrix"
correction_family_jacobian_row,model_anchored,determined_balance_rows,cl_l,"free=Na_l;K_l;height;Na_i;K_i","0.1465383713542062;0.146642389098639;8.287590263259986e-08;-0.1444971988807047;-0.144018927607019",,per_free_coordinate_native,,,numerical_local,unrestricted,,,"central finite difference relative_step=1e-5","row of 12x5 d(required source)/d(free state) matrix"
correction_family_jacobian_row,model_anchored,determined_balance_rows,q_apical,"free=Na_l;K_l;height;Na_i;K_i","0;0;0;0;0",,per_free_coordinate_native,,,numerical_local,unrestricted,,,"QSS net current demand convention","row of 12x5 d(required source)/d(free state) matrix"
correction_family_jacobian_row,model_anchored,determined_balance_rows,q_basolateral,"free=Na_l;K_l;height;Na_i;K_i","0;0;0;0;0",,per_free_coordinate_native,,,numerical_local,unrestricted,,,"QSS net current demand convention","row of 12x5 d(required source)/d(free state) matrix"
correction_family_jacobian_row,model_anchored,determined_balance_rows,q_tight,"free=Na_l;K_l;height;Na_i;K_i","0;0;0;0;0",,per_free_coordinate_native,,,numerical_local,unrestricted,,,"QSS net current demand convention","row of 12x5 d(required source)/d(free state) matrix"
correction_family_jacobian_row,model_anchored,determined_balance_rows,v_i,"free=Na_l;K_l;height;Na_i;K_i","0.001158692243951283;0.001158692244033427;7.30502985685692e-10;-0.001267707696371768;-0.001267707696315461",,per_free_coordinate_native,,,numerical_local,unrestricted,,,"central finite difference relative_step=1e-5","row of 12x5 d(required source)/d(free state) matrix"
module_signature,global,expanded_balance,basolateral_nkcc1,,"1;1;2;0;0;0;0;0;0;0;0;0;0;0",1,per_event,,0,exact,positive_direction,,,"independent source audit","bath-to-cell 1Na:1K:2Cl"
module_signature,global,expanded_balance,basolateral_ae2,,"0;0;1;-1;0;0;0;0;0;0;0;0;0;0",1,per_event,,0,exact,positive_direction,,,"independent source audit","Cl in/HCO3 out"
module_signature,global,expanded_balance,basolateral_nhe1,,"1;0;0;0;-1;0;0;0;0;0;0;0;0;0",1,per_event,,0,exact,positive_direction,,,"independent source audit","Na in/H out"
module_signature,global,expanded_balance,basolateral_nak_pump,,"-3;2;0;0;0;0;0;0;0;0;0;1;0;0",1,per_event,,0,exact,positive_direction,,,"independent source audit","3 Na out/2 K in; positive basolateral current"
module_signature,global,expanded_balance,apical_nak_pump,,"-3;2;0;0;0;0;3;-2;0;0;1;0;0;0",1,per_event,,0,exact,positive_direction,,,"independent source audit","3 Na to lumen/2 K recovered; positive apical current"
module_signature,global,expanded_balance,basolateral_k_channel,,"0;-1;0;0;0;0;0;0;0;0;0;1;0;0",1,per_event,,0,exact,positive_direction,,,"independent source audit","K cell to bath"
module_signature,global,expanded_balance,apical_k_channel,,"0;-1;0;0;0;0;0;1;0;0;1;0;0;0",1,per_event,,0,exact,positive_direction,,,"independent source audit","K cell to lumen"
module_signature,global,expanded_balance,apical_cl_channel,,"0;0;-1;0;0;0;0;0;1;0;-1;0;0;0",1,per_event,,0,exact,positive_direction,,,"independent source audit","Cl cell to lumen; negative apical current"
module_signature,global,expanded_balance,effective_apical_hco3_loss,,"0;0;0;-1;0;0;0;0;0;1;-1;0;0;0",1,per_event,,0,exact,positive_direction,,,"independent source audit","boundary signature; molecular carrier unidentified"
module_signature,global,expanded_balance,paracellular_na,,"0;0;0;0;0;0;1;0;0;0;0;0;-1;0",1,per_event,,0,exact,positive_direction,,,"independent source audit","bath to lumen Na"
module_signature,global,expanded_balance,paracellular_k,,"0;0;0;0;0;0;0;1;0;0;0;0;-1;0",1,per_event,,0,exact,positive_direction,,,"independent source audit","bath to lumen K"
module_signature,global,expanded_balance,carbon_hydration,,"0;0;0;1;1;-1;0;0;0;0;0;0;0;0",1,per_event,,0,exact,positive_direction,,,"exact carbon reaction","CO2 to HCO3+H"
module_signature,global,expanded_balance,basolateral_water_entry,,"0;0;0;0;0;0;0;0;0;0;0;0;0;1",1,per_event,,0,exact,positive_direction,,,"conservation direction","water bath to cell"
module_signature,global,expanded_balance,apical_water_exit,,"0;0;0;0;0;0;0;0;0;0;0;0;0;-1",1,per_event,,0,exact,positive_direction,,,"conservation direction","water cell to lumen"
signature_rank,global,expanded_14_by_14,all,,"exact rational Gaussian elimination",,not_applicable,,,exact,unrestricted,12,,"integer signature matrix","full declared signature set"
signature_rank,global,cell_chemical_6_by_14,all,,"rows Na_i;K_i;Cl_i;HCO3_i;H_i;CO2_i",,not_applicable,,,exact,unrestricted,6,,"integer signature matrix","full displayed cell chemical rank requires several modules"
signature_rank,global,determined_12_by_14,all,,"all rows except CO2_i and HCO3_l",,not_applicable,,,exact,unrestricted,11,,"integer signature matrix","only rows determined by reduced chassis"
topology_difference,global,expanded_balance,"apical_nak_pump-basolateral_nak_pump",,"0;0;0;0;0;0;3;-2;0;0;1;-1;0;0",1,per_redistributed_cycle,,0,exact,signed,1,,"exact source difference","zero intracellular signature; nonzero lumen/current direction"
topology_difference,global,expanded_balance,"apical_k_channel-basolateral_k_channel",,"0;0;0;0;0;0;0;1;0;0;1;-1;0;0",1,per_redistributed_particle,,0,exact,signed,1,,"exact source difference","zero intracellular signature; nonzero lumen/current direction"
topology_rank,global,expanded_balance,"pump_split+K_split",,"two difference columns",,not_applicable,,,exact,signed,2,,"exact rational rank","two independent extended directions"
topology_rank,global,cell_chemical,"pump_split+K_split",,"two zero columns",,not_applicable,,,exact,signed,0,,"exact rational rank","released intracellular Cl/pH cannot identify membrane split fractions"
required_source,model_anchored,expanded_balance,all,"Cl_i=36.5;pH_i=6.89","-0.1577266452;-0.08097603657;-0.1668785093;0.4297469356;0.5015711081;NA;0.006581621477;0.0004763316918;0.007057953168;NA;0;0;0;-4.307110580e-8",,native_blockwise,,,conditional,unrestricted,,,"AE4-null field at target manifold slice","free coordinates held at common null root; not a measured KO state"
required_source,wt_reference_cations,expanded_balance,all,"Cl_i=36.5;pH_i=6.89","-0.1149088938;-0.07882191932;-0.1240608301;0.04707088803;0.1167408711;NA;-0.01734823974;-0.0006944504889;-0.01804269023;NA;0;0;0;-0.0002031974467",,native_blockwise,,,conditional,unrestricted,,,"AE4-null field at target manifold slice","root lumen coordinates; H=28.7 Na_i=25 K_i=120; not a measured KO state"
source_projection,model_anchored,cell_amount_5,carbon_hydration,"-0.1577266452;-0.08097603657;-0.1668785093;0.4297469356;0.5015711081","0;0;0;1;1",0.4656590218,unit chemical flux,0.9355004216,0.3533255739,approximate,positive,1,1,"one-module least squares","best one direction under both signed and nonnegative rules"
source_projection,model_anchored,cell_amount_5,"basolateral_nkcc1+carbon_hydration","-0.1577266452;-0.08097603657;-0.1668785093;0.4297469356;0.5015711081","1;1;2;0;0 | 0;0;0;1;1","-0.09540995005;0.4656590218",unit chemical flux,0.9926636230,0.1209087735,approximate,signed,2,1.732050808,"two-module least squares","best signed pair; negative NKCC coefficient is not a positive added module"
source_projection,model_anchored,cell_amount_5,"apical_cl_channel+carbon_hydration","-0.1577266452;-0.08097603657;-0.1668785093;0.4297469356;0.5015711081","0;0;-1;0;0 | 0;0;0;1;1","0.1668785093;0.4656590218",unit chemical flux,0.9650695750,0.2619937317,approximate,nonnegative,2,1.414213562,"two-module NNLS","best nonnegative pair on this slice"
source_projection,wt_reference_cations,cell_amount_5,basolateral_nkcc1,"-0.1149088938;-0.07882191932;-0.1240608301;0.04707088803;0.1167408711","1;1;2;0;0",-0.07364207888,unit chemical flux,0.8014986126,0.5979966338,approximate,signed,1,1,"one-module least squares","best signed one direction; negative coefficient"
source_projection,wt_reference_cations,cell_amount_5,apical_cl_channel,"-0.1149088938;-0.07882191932;-0.1240608301;0.04707088803;0.1167408711","0;0;-1;0;0",0.1240608301,unit chemical flux,0.5512337405,0.8343508635,approximate,nonnegative,1,1,"one-module NNLS","best nonnegative one direction"
source_projection,wt_reference_cations,cell_amount_5,"basolateral_nkcc1+basolateral_nhe1","-0.1149088938;-0.07882191932;-0.1240608301;0.04707088803;0.1167408711","1;1;2;0;0 | 1;0;0;0;-1","-0.05927774379;-0.08618601055",unit chemical flux,0.9545964931,0.2979018890,approximate,signed,2,1.880245241,"two-module least squares","best signed pair; both directions negative"
source_projection,wt_reference_cations,cell_amount_5,"apical_cl_channel+carbon_hydration","-0.1149088938;-0.07882191932;-0.1240608301;0.04707088803;0.1167408711","0;0;-1;0;0 | 0;0;0;1;1","0.1240608301;0.08190587956",unit chemical flux,0.7541529621,0.6566987969,approximate,nonnegative,2,1.414213562,"two-module NNLS","best nonnegative pair on this slice"
local_response,common_null_root,"Cl_i;pH_i",nak_capacity,"-12.282215027;-0.4884739108","6.918658451;0.09632307855",,per_dlog_parameter,,,local_derivative,signed,1,70280.56258,"implicit-function finite difference; voltage re-solved","not a finite parameter repair"
local_response,common_null_root,"Cl_i;pH_i",kcc_conductance,"-12.282215027;-0.4884739108","-4.310355012;-0.04269726625",,per_dlog_parameter,,,local_derivative,signed,1,70280.56258,"implicit-function finite difference; voltage re-solved","not a finite parameter repair"
local_response,common_null_root,"Cl_i;pH_i",nhe1_capacity,"-12.282215027;-0.4884739108","-1.333877522e-6;0.1871552103",,per_dlog_parameter,,,local_derivative,signed,1,70280.56258,"implicit-function finite difference","not a genotype-change assumption"
local_response,common_null_root,"Cl_i;pH_i",nkcc_capacity,"-12.282215027;-0.4884739108","4.571987694;0.03236322362",,per_dlog_parameter,,,local_derivative,signed,1,70280.56258,"implicit-function finite difference","not a genotype-change assumption"
local_response,common_null_root,"Cl_i;pH_i",ae2_capacity,"-12.282215027;-0.4884739108","0.1897281223;-0.1981843814",,per_dlog_parameter,,,local_derivative,signed,1,70280.56258,"implicit-function finite difference","not a finite parameter repair"
local_response,common_null_root,"Cl_i;pH_i",cacc_conductance,"-12.282215027;-0.4884739108","-4.783781359;-0.04738690571",,per_dlog_parameter,,,local_derivative,signed,1,70280.56258,"implicit-function finite difference; voltage re-solved","not a finite parameter repair"
local_response,common_null_root,"Cl_i;pH_i",water_apical,"-12.282215027;-0.4884739108","-0.03884530010;-0.0003572153754",,per_dlog_parameter,,,local_derivative,signed,1,70280.56258,"implicit-function finite difference","historical water scale uncertified"
local_response,common_null_root,"Cl_i;pH_i",water_basolateral,"-12.282215027;-0.4884739108","0.4727058928;0.002951643193",,per_dlog_parameter,,,local_derivative,signed,1,70280.56258,"implicit-function finite difference","historical water scale uncertified"
local_response,common_null_root,"Cl_i;pH_i",water_paracellular,"-12.282215027;-0.4884739108","0.06374285160;0.0003811736538",,per_dlog_parameter,,,local_derivative,signed,1,70280.56258,"implicit-function finite difference","historical water scale uncertified"
local_response,common_null_root,"Cl_i;pH_i",tight_na_conductance,"-12.282215027;-0.4884739108","-2.979350114;-0.02951267463",,per_dlog_parameter,,,local_derivative,signed,1,70280.56258,"implicit-function finite difference; voltage re-solved","not a finite parameter repair"
local_response,common_null_root,"Cl_i;pH_i",tight_k_conductance,"-12.282215027;-0.4884739108","-0.1044901243;-0.001035052216",,per_dlog_parameter,,,local_derivative,signed,1,70280.56258,"implicit-function finite difference; voltage re-solved","not a finite parameter repair"
local_response_rank,common_null_root,"Cl_i;pH_i","11 existing parameter directions",,"singular_values_raw=10.92706563;0.27552069 | singular_values_SEM=15.24845628;6.16995369",,explicit raw and reported-SEM sensitivity,,,numerical_local,signed,2,39.65969173,"response matrix SVD","rank 2; nullity 9; raw condition 39.66 and SEM-scaled condition 2.471; many pairs span two outputs"
local_one_projection,common_null_root,"Cl_i;pH_i",nak_capacity,"-12.282215027;-0.4884739108","6.918658451;0.09632307855",-1.775869449,"unit raw coordinates",0.9996664612,0.02582569182,approximate,signed,1,1,"one-direction local least squares","raw mM/pH norm selects pump; coordinate scaling is not physical evidence"
local_one_projection,common_null_root,"Cl_i;pH_i",nhe1_capacity,"-12.282215027;-0.4884739108","-1.333877522e-6;0.1871552103",-2.609993579,"reported SEM 1.6;0.02",0.9539896033,0.2998396852,approximate,signed,1,1,"one-direction local least squares","SEM norm selects NHE decrease; ranking changes with scale"
local_pair_projection,common_null_root,"Cl_i;pH_i","nak_capacity+kcc_conductance","-12.282215027;-0.4884739108","6.918658451;0.09632307855 | -4.310355012;-0.04269726625","-13.19998314;-18.33815536","reported SEM 1.6;0.02",1,4.388261347e-16,linear_exact,signed,2,14.27876475,"two-direction local least squares","implied factors 1.85e-6 and 1.09e-8; invalid as finite local repair"
local_pair_projection,common_null_root,"Cl_i;pH_i","nak_capacity+kcc_conductance","-12.282215027;-0.4884739108","6.918658451;0.09632307855 | -4.310355012;-0.04269726625","0;6.163388870","reported SEM 1.6;0.02",0.8275057544,0.5614572348,approximate,nonnegative,2,14.27876475,"two-direction active-set NNLS","positive addition cannot make exact pair fit"
local_pair_projection,common_null_root,"Cl_i;pH_i","nak_capacity+nhe1_capacity","-12.282215027;-0.4884739108","6.918658451;0.09632307855 | -1.333877522e-6;0.1871552103","-1.775231048;-1.696336376","reported SEM 1.6;0.02",1,1.551484678e-16,linear_exact,signed,2,2.848297273,"two-direction local least squares","implied factors 0.169 and 0.183; large and unsupported"
local_pair_projection,common_null_root,"Cl_i;pH_i","kcc_conductance+nhe1_capacity","-12.282215027;-0.4884739108","-4.310355012;-0.04269726625 | -1.333877522e-6;0.1871552103","2.849467760;-1.959921001","reported SEM 1.6;0.02",1,4.177500344e-16,linear_exact,signed,2,3.669772463,"two-direction local least squares","implied factors 17.28 and 0.141; outside local validity"
local_pair_projection,common_null_root,"Cl_i;pH_i","kcc_conductance+ae2_capacity","-12.282215027;-0.4884739108","-4.310355012;-0.04269726625 | 0.1897281223;-0.1981843814","2.930170346;1.833462581","reported SEM 1.6;0.02",1,1.962490135e-16,linear_exact,nonnegative,2,3.820985371,"two-direction local least squares","implied factors 18.73 and 6.25; rank fit not reconstruction"
fixed_row_projection,historical_wt_row,"Na_i;K_i",basolateral_nak_pump,"-0.03217931477;0.03217931477","-3;2",0.01237665953,unit chemical flux,0.9805806757,0.1961161351,approximate,positive,1,1,"exact Task-12 WT closure theorem","separate from Stage-B knockout localization"
fixed_row_projection,historical_wt_row,"Na_i;K_i","basolateral_nak_pump+basolateral_nhe1","-0.03217931477;0.03217931477","-3;2 | 1;0","0.01608965738;0.01608965738",unit chemical flux,1,0,exact,positive,2,3.338498523,"exact Task-12 WT closure theorem","algebraic WT mixed-cation repair; not evidence for genotype retuning"
