check_id,category,scope,metric,reference_artifact,reference_value,independent_value,absolute_difference,tolerance,status,method,notes
SR2_SHARED_123|slow_common|na_assay_150|occupancy_matrix_tree_max_abs_difference,ctmc,SR2_SHARED_123|slow_common|na_assay_150,occupancy_matrix_tree_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,1.1324274851176597e-13,1.1324274851176597e-13,1e-10,PASS,matrix-tree cofactors,states=8;edges=9
SR2_SHARED_123|slow_common|na_assay_150|edge_current_svd_max_abs_difference,ctmc,SR2_SHARED_123|slow_common|na_assay_150,edge_current_svd_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,1.3228862449921053e-12,1.3228862449921053e-12,1e-09,PASS,SVD occupancy plus saved edge rates,states=8;edges=9
SR2_SHARED_123|slow_common|na_assay_150|svd_tree_occupancy_max_abs_difference,ctmc,SR2_SHARED_123|slow_common|na_assay_150,svd_tree_occupancy_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,5.7343019221889335e-13,5.7343019221889335e-13,1e-10,PASS,SVD versus matrix-tree,states=8;edges=9
SR2_SHARED_123|slow_common|na_assay_150|svd_stationarity_residual_inf,ctmc,SR2_SHARED_123|slow_common|na_assay_150,svd_stationarity_residual_inf,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,1.2592717155421123e-12,1.2592717155421123e-12,1e-09,PASS,SVD nullspace,states=8;edges=9
SR2_SHARED_123|slow_common|na_assay_150|matrix_tree_stationarity_residual_inf,ctmc,SR2_SHARED_123|slow_common|na_assay_150,matrix_tree_stationarity_residual_inf,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,1.3518075547835906e-11,1.3518075547835906e-11,1e-09,PASS,matrix-tree cofactors,states=8;edges=9
SR2_SHARED_123|slow_common|k_assay_150|occupancy_svd_max_abs_difference,ctmc,SR2_SHARED_123|slow_common|k_assay_150,occupancy_svd_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,8.5487172896137054e-14,8.5487172896137054e-14,1e-10,PASS,SVD nullspace,states=8;edges=9
SR2_SHARED_123|slow_common|k_assay_150|occupancy_matrix_tree_max_abs_difference,ctmc,SR2_SHARED_123|slow_common|k_assay_150,occupancy_matrix_tree_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,2.901012763345534e-13,2.901012763345534e-13,1e-10,PASS,matrix-tree cofactors,states=8;edges=9
SR2_SHARED_123|slow_common|k_assay_150|edge_current_svd_max_abs_difference,ctmc,SR2_SHARED_123|slow_common|k_assay_150,edge_current_svd_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,3.0280812579608352e-13,3.0280812579608352e-13,1e-09,PASS,SVD occupancy plus saved edge rates,states=8;edges=9
SR2_SHARED_123|slow_common|k_assay_150|svd_tree_occupancy_max_abs_difference,ctmc,SR2_SHARED_123|slow_common|k_assay_150,svd_tree_occupancy_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,2.0461410343841635e-13,2.0461410343841635e-13,1e-10,PASS,SVD versus matrix-tree,states=8;edges=9
SR2_SHARED_123|slow_common|k_assay_150|svd_stationarity_residual_inf,ctmc,SR2_SHARED_123|slow_common|k_assay_150,svd_stationarity_residual_inf,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,4.5474735088646412e-13,4.5474735088646412e-13,1e-09,PASS,SVD nullspace,states=8;edges=9
SR2_SHARED_123|slow_common|k_assay_150|matrix_tree_stationarity_residual_inf,ctmc,SR2_SHARED_123|slow_common|k_assay_150,matrix_tree_stationarity_residual_inf,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,1.9440449250396341e-11,1.9440449250396341e-11,1e-09,PASS,matrix-tree cofactors,states=8;edges=9
SR5_COORDINATION_112|unit_common|physiology_basal|occupancy_svd_max_abs_difference,ctmc,SR5_COORDINATION_112|unit_common|physiology_basal,occupancy_svd_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,1.4988010832439613e-14,1.4988010832439613e-14,1e-10,PASS,SVD nullspace,states=12;edges=15
SR5_COORDINATION_112|unit_common|physiology_basal|occupancy_matrix_tree_max_abs_difference,ctmc,SR5_COORDINATION_112|unit_common|physiology_basal,occupancy_matrix_tree_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,9.4368957093138306e-16,9.4368957093138306e-16,1e-10,PASS,matrix-tree cofactors,states=12;edges=15
SR5_COORDINATION_112|unit_common|physiology_basal|edge_current_svd_max_abs_difference,ctmc,SR5_COORDINATION_112|unit_common|physiology_basal,edge_current_svd_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,1.3805623311213822e-13,1.3805623311213822e-13,1e-09,PASS,SVD occupancy plus saved edge rates,states=12;edges=15
SR5_COORDINATION_112|unit_common|physiology_basal|svd_tree_occupancy_max_abs_difference,ctmc,SR5_COORDINATION_112|unit_common|physiology_basal,svd_tree_occupancy_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,1.5931700403370996e-14,1.5931700403370996e-14,1e-10,PASS,SVD versus matrix-tree,states=12;edges=15
SR5_COORDINATION_112|unit_common|physiology_basal|svd_stationarity_residual_inf,ctmc,SR5_COORDINATION_112|unit_common|physiology_basal,svd_stationarity_residual_inf,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,1.2544799183819566e-13,1.2544799183819566e-13,1e-09,PASS,SVD nullspace,states=12;edges=15
SR5_COORDINATION_112|unit_common|physiology_basal|matrix_tree_stationarity_residual_inf,ctmc,SR5_COORDINATION_112|unit_common|physiology_basal,matrix_tree_stationarity_residual_inf,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,2.7248271041411051e-15,2.7248271041411051e-15,1e-09,PASS,matrix-tree cofactors,states=12;edges=15
SR5_COORDINATION_112|unit_common|na_assay_150|occupancy_svd_max_abs_difference,ctmc,SR5_COORDINATION_112|unit_common|na_assay_150,occupancy_svd_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,6.4948046940571658e-15,6.4948046940571658e-15,1e-10,PASS,SVD nullspace,states=12;edges=15
SR5_COORDINATION_112|unit_common|na_assay_150|occupancy_matrix_tree_max_abs_difference,ctmc,SR5_COORDINATION_112|unit_common|na_assay_150,occupancy_matrix_tree_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,1.1379786002407855e-15,1.1379786002407855e-15,1e-10,PASS,matrix-tree cofactors,states=12;edges=15
SR5_COORDINATION_112|unit_common|na_assay_150|edge_current_svd_max_abs_difference,ctmc,SR5_COORDINATION_112|unit_common|na_assay_150,edge_current_svd_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,5.1070259132757201e-14,5.1070259132757201e-14,1e-09,PASS,SVD occupancy plus saved edge rates,states=12;edges=15
SR5_COORDINATION_112|unit_common|na_assay_150|svd_tree_occupancy_max_abs_difference,ctmc,SR5_COORDINATION_112|unit_common|na_assay_150,svd_tree_occupancy_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,7.2164496600635175e-15,7.2164496600635175e-15,1e-10,PASS,SVD versus matrix-tree,states=12;edges=15
SR5_COORDINATION_112|unit_common|na_assay_150|svd_stationarity_residual_inf,ctmc,SR5_COORDINATION_112|unit_common|na_assay_150,svd_stationarity_residual_inf,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,5.542788450441094e-14,5.542788450441094e-14,1e-09,PASS,SVD nullspace,states=12;edges=15
SR5_COORDINATION_112|unit_common|na_assay_150|matrix_tree_stationarity_residual_inf,ctmc,SR5_COORDINATION_112|unit_common|na_assay_150,matrix_tree_stationarity_residual_inf,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,1.6209256159527285e-14,1.6209256159527285e-14,1e-09,PASS,matrix-tree cofactors,states=12;edges=15
SR5_COORDINATION_112|unit_common|k_assay_150|occupancy_svd_max_abs_difference,ctmc,SR5_COORDINATION_112|unit_common|k_assay_150,occupancy_svd_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,2.4036328483134639e-14,2.4036328483134639e-14,1e-10,PASS,SVD nullspace,states=12;edges=15
SR5_COORDINATION_112|unit_common|k_assay_150|occupancy_matrix_tree_max_abs_difference,ctmc,SR5_COORDINATION_112|unit_common|k_assay_150,occupancy_matrix_tree_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,3.8857805861880479e-16,3.8857805861880479e-16,1e-10,PASS,matrix-tree cofactors,states=12;edges=15
SR5_COORDINATION_112|unit_common|k_assay_150|edge_current_svd_max_abs_difference,ctmc,SR5_COORDINATION_112|unit_common|k_assay_150,edge_current_svd_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,4.5297099404706387e-14,4.5297099404706387e-14,1e-09,PASS,SVD occupancy plus saved edge rates,states=12;edges=15
SR5_COORDINATION_112|unit_common|k_assay_150|svd_tree_occupancy_max_abs_difference,ctmc,SR5_COORDINATION_112|unit_common|k_assay_150,svd_tree_occupancy_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,2.3647750424515834e-14,2.3647750424515834e-14,1e-10,PASS,SVD versus matrix-tree,states=12;edges=15
SR5_COORDINATION_112|unit_common|k_assay_150|svd_stationarity_residual_inf,ctmc,SR5_COORDINATION_112|unit_common|k_assay_150,svd_stationarity_residual_inf,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,3.8616844783103032e-14,3.8616844783103032e-14,1e-09,PASS,SVD nullspace,states=12;edges=15
SR5_COORDINATION_112|unit_common|k_assay_150|matrix_tree_stationarity_residual_inf,ctmc,SR5_COORDINATION_112|unit_common|k_assay_150,matrix_tree_stationarity_residual_inf,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,9.7699626167013776e-15,9.7699626167013776e-15,1e-09,PASS,matrix-tree cofactors,states=12;edges=15
SR5_COORDINATION_112|fast_common|physiology_basal|occupancy_svd_max_abs_difference,ctmc,SR5_COORDINATION_112|fast_common|physiology_basal,occupancy_svd_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,7.1054273576010019e-15,7.1054273576010019e-15,1e-10,PASS,SVD nullspace,states=12;edges=15
SR5_COORDINATION_112|fast_common|physiology_basal|occupancy_matrix_tree_max_abs_difference,ctmc,SR5_COORDINATION_112|fast_common|physiology_basal,occupancy_matrix_tree_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,2.3869795029440866e-15,2.3869795029440866e-15,1e-10,PASS,matrix-tree cofactors,states=12;edges=15
SR5_COORDINATION_112|fast_common|physiology_basal|edge_current_svd_max_abs_difference,ctmc,SR5_COORDINATION_112|fast_common|physiology_basal,edge_current_svd_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,6.2394533983933798e-14,6.2394533983933798e-14,1e-09,PASS,SVD occupancy plus saved edge rates,states=12;edges=15
SR5_COORDINATION_112|fast_common|physiology_basal|svd_tree_occupancy_max_abs_difference,ctmc,SR5_COORDINATION_112|fast_common|physiology_basal,svd_tree_occupancy_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,7.382983113757291e-15,7.382983113757291e-15,1e-10,PASS,SVD versus matrix-tree,states=12;edges=15
SR5_COORDINATION_112|fast_common|physiology_basal|svd_stationarity_residual_inf,ctmc,SR5_COORDINATION_112|fast_common|physiology_basal,svd_stationarity_residual_inf,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,7.7271522513910895e-14,7.7271522513910895e-14,1e-09,PASS,SVD nullspace,states=12;edges=15
SR5_COORDINATION_112|fast_common|physiology_basal|matrix_tree_stationarity_residual_inf,ctmc,SR5_COORDINATION_112|fast_common|physiology_basal,matrix_tree_stationarity_residual_inf,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,3.3511656234095659e-14,3.3511656234095659e-14,1e-09,PASS,matrix-tree cofactors,states=12;edges=15
SR5_COORDINATION_112|fast_common|na_assay_150|occupancy_svd_max_abs_difference,ctmc,SR5_COORDINATION_112|fast_common|na_assay_150,occupancy_svd_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,5.440092820663267e-15,5.440092820663267e-15,1e-10,PASS,SVD nullspace,states=12;edges=15
SR5_COORDINATION_112|fast_common|na_assay_150|occupancy_matrix_tree_max_abs_difference,ctmc,SR5_COORDINATION_112|fast_common|na_assay_150,occupancy_matrix_tree_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,1.5820678100908481e-15,1.5820678100908481e-15,1e-10,PASS,matrix-tree cofactors,states=12;edges=15
SR5_COORDINATION_112|fast_common|na_assay_150|edge_current_svd_max_abs_difference,ctmc,SR5_COORDINATION_112|fast_common|na_assay_150,edge_current_svd_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,4.9349413444588208e-14,4.9349413444588208e-14,1e-09,PASS,SVD occupancy plus saved edge rates,states=12;edges=15
SR5_COORDINATION_112|fast_common|na_assay_150|svd_tree_occupancy_max_abs_difference,ctmc,SR5_COORDINATION_112|fast_common|na_assay_150,svd_tree_occupancy_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,7.0221606307541151e-15,7.0221606307541151e-15,1e-10,PASS,SVD versus matrix-tree,states=12;edges=15
SR5_COORDINATION_112|fast_common|na_assay_150|svd_stationarity_residual_inf,ctmc,SR5_COORDINATION_112|fast_common|na_assay_150,svd_stationarity_residual_inf,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,5.0293103015519591e-14,5.0293103015519591e-14,1e-09,PASS,SVD nullspace,states=12;edges=15
SR5_COORDINATION_112|fast_common|na_assay_150|matrix_tree_stationarity_residual_inf,ctmc,SR5_COORDINATION_112|fast_common|na_assay_150,matrix_tree_stationarity_residual_inf,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,7.820404747318641e-15,7.820404747318641e-15,1e-09,PASS,matrix-tree cofactors,states=12;edges=15
SR5_COORDINATION_112|fast_common|k_assay_150|occupancy_svd_max_abs_difference,ctmc,SR5_COORDINATION_112|fast_common|k_assay_150,occupancy_svd_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,5.5511151231257827e-15,5.5511151231257827e-15,1e-10,PASS,SVD nullspace,states=12;edges=15
SR5_COORDINATION_112|fast_common|k_assay_150|occupancy_matrix_tree_max_abs_difference,ctmc,SR5_COORDINATION_112|fast_common|k_assay_150,occupancy_matrix_tree_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,1.5543122344752192e-15,1.5543122344752192e-15,1e-10,PASS,matrix-tree cofactors,states=12;edges=15
SR5_COORDINATION_112|fast_common|k_assay_150|edge_current_svd_max_abs_difference,ctmc,SR5_COORDINATION_112|fast_common|k_assay_150,edge_current_svd_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,3.9863945477947027e-14,3.9863945477947027e-14,1e-09,PASS,SVD occupancy plus saved edge rates,states=12;edges=15
SR5_COORDINATION_112|fast_common|k_assay_150|svd_tree_occupancy_max_abs_difference,ctmc,SR5_COORDINATION_112|fast_common|k_assay_150,svd_tree_occupancy_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,6.8278716014447127e-15,6.8278716014447127e-15,1e-10,PASS,SVD versus matrix-tree,states=12;edges=15
SR5_COORDINATION_112|fast_common|k_assay_150|svd_stationarity_residual_inf,ctmc,SR5_COORDINATION_112|fast_common|k_assay_150,svd_stationarity_residual_inf,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,4.0369164730427979e-14,4.0369164730427979e-14,1e-09,PASS,SVD nullspace,states=12;edges=15
SR5_COORDINATION_112|fast_common|k_assay_150|matrix_tree_stationarity_residual_inf,ctmc,SR5_COORDINATION_112|fast_common|k_assay_150,matrix_tree_stationarity_residual_inf,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,3.0676920361251172e-14,3.0676920361251172e-14,1e-09,PASS,matrix-tree cofactors,states=12;edges=15
SR6_PKA_EDGE_112|unit_common|physiology_basal|occupancy_svd_max_abs_difference,ctmc,SR6_PKA_EDGE_112|unit_common|physiology_basal,occupancy_svd_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,3.1452618287630685e-13,3.1452618287630685e-13,1e-10,PASS,SVD nullspace,states=24;edges=31
SR6_PKA_EDGE_112|unit_common|physiology_basal|occupancy_matrix_tree_max_abs_difference,ctmc,SR6_PKA_EDGE_112|unit_common|physiology_basal,occupancy_matrix_tree_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,8.7707618945387367e-15,8.7707618945387367e-15,1e-10,PASS,matrix-tree cofactors,states=24;edges=31
SR6_PKA_EDGE_112|unit_common|physiology_basal|edge_current_svd_max_abs_difference,ctmc,SR6_PKA_EDGE_112|unit_common|physiology_basal,edge_current_svd_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,1.5791148221555437e-13,1.5791148221555437e-13,1e-09,PASS,SVD occupancy plus saved edge rates,states=24;edges=31
SR6_PKA_EDGE_112|unit_common|physiology_basal|svd_tree_occupancy_max_abs_difference,ctmc,SR6_PKA_EDGE_112|unit_common|physiology_basal,svd_tree_occupancy_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,3.0897506775318107e-13,3.0897506775318107e-13,1e-10,PASS,SVD versus matrix-tree,states=24;edges=31
SR6_PKA_EDGE_112|unit_common|physiology_basal|svd_stationarity_residual_inf,ctmc,SR6_PKA_EDGE_112|unit_common|physiology_basal,svd_stationarity_residual_inf,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,2.212674488077937e-13,2.212674488077937e-13,1e-09,PASS,SVD nullspace,states=24;edges=31
SR6_PKA_EDGE_112|unit_common|physiology_basal|matrix_tree_stationarity_residual_inf,ctmc,SR6_PKA_EDGE_112|unit_common|physiology_basal,matrix_tree_stationarity_residual_inf,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,3.3750779948604759e-14,3.3750779948604759e-14,1e-09,PASS,matrix-tree cofactors,states=24;edges=31
SR6_PKA_EDGE_112|unit_common|na_assay_150|occupancy_svd_max_abs_difference,ctmc,SR6_PKA_EDGE_112|unit_common|na_assay_150,occupancy_svd_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,3.4017233474514796e-13,3.4017233474514796e-13,1e-10,PASS,SVD nullspace,states=24;edges=31
SR6_PKA_EDGE_112|unit_common|na_assay_150|occupancy_matrix_tree_max_abs_difference,ctmc,SR6_PKA_EDGE_112|unit_common|na_assay_150,occupancy_matrix_tree_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,1.8612889007840749e-13,1.8612889007840749e-13,1e-10,PASS,matrix-tree cofactors,states=24;edges=31
SR6_PKA_EDGE_112|unit_common|na_assay_150|edge_current_svd_max_abs_difference,ctmc,SR6_PKA_EDGE_112|unit_common|na_assay_150,edge_current_svd_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,1.676740297470168e-13,1.676740297470168e-13,1e-09,PASS,SVD occupancy plus saved edge rates,states=24;edges=31
SR6_PKA_EDGE_112|unit_common|na_assay_150|svd_tree_occupancy_max_abs_difference,ctmc,SR6_PKA_EDGE_112|unit_common|na_assay_150,svd_tree_occupancy_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,2.5296431616084192e-13,2.5296431616084192e-13,1e-10,PASS,SVD versus matrix-tree,states=24;edges=31
SR6_PKA_EDGE_112|unit_common|na_assay_150|svd_stationarity_residual_inf,ctmc,SR6_PKA_EDGE_112|unit_common|na_assay_150,svd_stationarity_residual_inf,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,9.7477581562088744e-14,9.7477581562088744e-14,1e-09,PASS,SVD nullspace,states=24;edges=31
SR6_PKA_EDGE_112|unit_common|na_assay_150|matrix_tree_stationarity_residual_inf,ctmc,SR6_PKA_EDGE_112|unit_common|na_assay_150,matrix_tree_stationarity_residual_inf,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,7.2125638794773295e-13,7.2125638794773295e-13,1e-09,PASS,matrix-tree cofactors,states=24;edges=31
SR6_PKA_EDGE_112|unit_common|k_assay_150|occupancy_svd_max_abs_difference,ctmc,SR6_PKA_EDGE_112|unit_common|k_assay_150,occupancy_svd_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,3.351208199831035e-13,3.351208199831035e-13,1e-10,PASS,SVD nullspace,states=24;edges=31
SR6_PKA_EDGE_112|unit_common|k_assay_150|occupancy_matrix_tree_max_abs_difference,ctmc,SR6_PKA_EDGE_112|unit_common|k_assay_150,occupancy_matrix_tree_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,2.3481216970822061e-14,2.3481216970822061e-14,1e-10,PASS,matrix-tree cofactors,states=24;edges=31
SR6_PKA_EDGE_112|unit_common|k_assay_150|edge_current_svd_max_abs_difference,ctmc,SR6_PKA_EDGE_112|unit_common|k_assay_150,edge_current_svd_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,1.3550272015550036e-13,1.3550272015550036e-13,1e-09,PASS,SVD occupancy plus saved edge rates,states=24;edges=31
SR6_PKA_EDGE_112|unit_common|k_assay_150|svd_tree_occupancy_max_abs_difference,ctmc,SR6_PKA_EDGE_112|unit_common|k_assay_150,svd_tree_occupancy_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,3.4239278079439828e-13,3.4239278079439828e-13,1e-10,PASS,SVD versus matrix-tree,states=24;edges=31
SR6_PKA_EDGE_112|unit_common|k_assay_150|svd_stationarity_residual_inf,ctmc,SR6_PKA_EDGE_112|unit_common|k_assay_150,svd_stationarity_residual_inf,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,4.0856207306205761e-14,4.0856207306205761e-14,1e-09,PASS,SVD nullspace,states=24;edges=31
SR6_PKA_EDGE_112|unit_common|k_assay_150|matrix_tree_stationarity_residual_inf,ctmc,SR6_PKA_EDGE_112|unit_common|k_assay_150,matrix_tree_stationarity_residual_inf,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,1.2650991365603659e-13,1.2650991365603659e-13,1e-09,PASS,matrix-tree cofactors,states=24;edges=31
SR6_PKA_EDGE_112|unit_common|na_assay_150_pka|occupancy_svd_max_abs_difference,ctmc,SR6_PKA_EDGE_112|unit_common|na_assay_150_pka,occupancy_svd_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,3.2501779045901458e-14,3.2501779045901458e-14,1e-10,PASS,SVD nullspace,states=24;edges=31
SR6_PKA_EDGE_112|unit_common|na_assay_150_pka|occupancy_matrix_tree_max_abs_difference,ctmc,SR6_PKA_EDGE_112|unit_common|na_assay_150_pka,occupancy_matrix_tree_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,8.0380146982861334e-14,8.0380146982861334e-14,1e-10,PASS,matrix-tree cofactors,states=24;edges=31
SR6_PKA_EDGE_112|unit_common|na_assay_150_pka|edge_current_svd_max_abs_difference,ctmc,SR6_PKA_EDGE_112|unit_common|na_assay_150_pka,edge_current_svd_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,5.2846615972157451e-14,5.2846615972157451e-14,1e-09,PASS,SVD occupancy plus saved edge rates,states=24;edges=31
SR6_PKA_EDGE_112|unit_common|na_assay_150_pka|svd_tree_occupancy_max_abs_difference,ctmc,SR6_PKA_EDGE_112|unit_common|na_assay_150_pka,svd_tree_occupancy_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,1.0919043447188415e-13,1.0919043447188415e-13,1e-10,PASS,SVD versus matrix-tree,states=24;edges=31
SR6_PKA_EDGE_112|unit_common|na_assay_150_pka|svd_stationarity_residual_inf,ctmc,SR6_PKA_EDGE_112|unit_common|na_assay_150_pka,svd_stationarity_residual_inf,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,4.8849813083506888e-14,4.8849813083506888e-14,1e-09,PASS,SVD nullspace,states=24;edges=31
