admissible_state,ae4_expression,cluster_id,co2_factor,complete_rest_gate_pass,converged_root,cost,max_abs_scaled_independent_rhs,message,nfev,nhe1_factor,optimality,optimizer_success,predecessor_co2_factor,predecessor_nhe1_factor,root_alias,root_id,root_internal_gate_pass,seed_core_sha256,seed_id,selected_cluster,solution_core_sha256
True,1.0,B00,2.0,True,True,1.1745866547227369e-23,4.378008372496467e-12,`xtol` termination condition is satisfied.,141,1.0,4.794949937875048e-07,True,1.0,1.0,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,ad9a3125472395044b8d7022c0c00a674ccf394ad7a82f06410ffa0ac36ce14f,inherited_saved_rest,True,b56ac2f1913b525a6df03e91fcee6f203bdd4261cb7fe139550925fc9018aca0
True,1.0,B00,5.0,True,True,5.576230408969929e-23,1.0560129160008813e-11,`xtol` termination condition is satisfied.,35,1.0,6.490179092644236e-07,True,2.0,1.0,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,0140dac520265d4d9f92296897c38a8d6986c92a7a02ad01e0a64b41a9b3c6b2,continuation_predecessor,True,608a809e0c4a4d74b56dd5515a7a858128d1763e45e1bdf14340583fc3106f23
True,1.0,B00,5.0,True,True,5.576229808806006e-23,1.0560129160008813e-11,`xtol` termination condition is satisfied.,63,1.0,6.490179085072694e-07,True,2.0,1.0,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,cd654899393c3b4a8e9f01428070c71e199a4207e0dac68e99e9d260225b1048,task24_baseline_anchor,True,2e0521df90110a9dfe7d7863f5892fb7df22bc3d0059185cd76066b138eba5a1
True,1.0,B00,5.0,True,True,5.576220017524871e-23,1.0560129160008813e-11,`xtol` termination condition is satisfied.,137,1.0,6.490178677169697e-07,True,2.0,1.0,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,ad9a3125472395044b8d7022c0c00a674ccf394ad7a82f06410ffa0ac36ce14f,inherited_saved_rest,True,eb2f3732459f954fafdbb558d79e39ec3de1aff584c20af19b6231a8e8ed43b9
True,1.0,B00,10.0,True,True,3.8447937551373836e-22,2.772738635914429e-11,`xtol` termination condition is satisfied.,20,1.0,1.7013204843123446e-06,True,5.0,1.0,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,608a809e0c4a4d74b56dd5515a7a858128d1763e45e1bdf14340583fc3106f23,continuation_predecessor,True,1b85774c2ae941a6c64a4b9caa639df05e9ea18d414720d885d9897c36c82663
True,1.0,B00,10.0,True,True,1.4058039732277548e-24,1.5482407023093003e-12,`xtol` termination condition is satisfied.,64,1.0,1.595091825436936e-07,True,5.0,1.0,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,cd654899393c3b4a8e9f01428070c71e199a4207e0dac68e99e9d260225b1048,task24_baseline_anchor,True,cd700cce8eb76a1b0b08a8e99a2751376fef03b825384e6aa6288d421364bfdd
True,1.0,B00,10.0,True,True,1.34281040879372e-24,1.5482407023093003e-12,`xtol` termination condition is satisfied.,84,1.0,1.5997256349462415e-07,True,5.0,1.0,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,ad9a3125472395044b8d7022c0c00a674ccf394ad7a82f06410ffa0ac36ce14f,inherited_saved_rest,True,f7e932ef3407b8ac5f8bbc4bb20f5ed24d5c1cb17806ae553a2d41c87e7f63c0
True,1.0,B00,2.0,True,True,3.570464072418676e-24,2.5457067009959644e-12,`xtol` termination condition is satisfied.,49,0.5,1.565111256534236e-07,True,1.0,0.5,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,3e07dbe0ed7168a1ec314830cbc79d6ce985005dc162e938e4f4acdf2e167948,continuation_predecessor,True,b1b4b6c09f4657a6ecafd1fc4fb2a2739a8fd0cdb18cfd193bb04e3ec9cd926e
True,1.0,B00,2.0,True,True,3.2834098382429303e-24,2.5457067009959644e-12,`xtol` termination condition is satisfied.,86,0.5,1.5571315940544924e-07,True,1.0,0.5,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,cd654899393c3b4a8e9f01428070c71e199a4207e0dac68e99e9d260225b1048,task24_baseline_anchor,True,a610a0e8ed5f72be64ec3d8dab6509769a91ebb7ea5444a5d30a43ab2c4bdacc
True,1.0,B00,2.0,True,True,3.5725498393152863e-22,2.6729920360457626e-11,`xtol` termination condition is satisfied.,164,0.5,2.827710164880451e-06,True,1.0,0.5,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,ad9a3125472395044b8d7022c0c00a674ccf394ad7a82f06410ffa0ac36ce14f,inherited_saved_rest,True,b2942365d6bd704600578eac0ca25039e2487b35be54d9af148ce6c5839b4308
True,1.0,B00,5.0,True,True,3.415772806863496e-22,2.611409352648586e-11,`xtol` termination condition is satisfied.,21,0.5,2.7760377874851688e-06,True,2.0,0.5,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,a610a0e8ed5f72be64ec3d8dab6509769a91ebb7ea5444a5d30a43ab2c4bdacc,continuation_predecessor,True,5433c0d033b89fc58aea1169815914a30a6be0102dc717ff422953d8ed93613b
True,1.0,B00,5.0,True,True,3.4165081673252214e-22,2.611409352648586e-11,`xtol` termination condition is satisfied.,71,0.5,2.7748995391363588e-06,True,2.0,0.5,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,cd654899393c3b4a8e9f01428070c71e199a4207e0dac68e99e9d260225b1048,task24_baseline_anchor,True,b05e0edaa8cc481ab8e4e27531de601fa1cf3f502ed763039146f7691b5b036d
True,1.0,B00,5.0,True,True,5.774981539353695e-24,3.161533534967731e-12,`xtol` termination condition is satisfied.,150,0.5,1.8850306775923e-07,True,2.0,0.5,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,ad9a3125472395044b8d7022c0c00a674ccf394ad7a82f06410ffa0ac36ce14f,inherited_saved_rest,True,0276de6dcd1f51a966125b90f783421030eb173e0531a033da443bf1321324c7
True,1.0,B00,10.0,True,True,4.50361069746133e-22,2.9841580595491024e-11,`xtol` termination condition is satisfied.,11,0.5,1.8483584271725214e-06,True,5.0,0.5,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,0276de6dcd1f51a966125b90f783421030eb173e0531a033da443bf1321324c7,continuation_predecessor,True,6b080e7c892f59a0a8fdb3a6ff8d664f764044dabc8806a8508189dc3e7a923d
True,1.0,B00,10.0,True,True,6.6010254187008615e-22,3.6073574682937704e-11,`xtol` termination condition is satisfied.,71,0.5,3.860551191383257e-06,True,5.0,0.5,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,cd654899393c3b4a8e9f01428070c71e199a4207e0dac68e99e9d260225b1048,task24_baseline_anchor,True,af81846ca7201aeb5c1c42d11efe37b160d3330a2bc38d8daf91551407419b0c
True,1.0,B00,10.0,True,True,3.7519801143445946e-22,2.7386946876983842e-11,`xtol` termination condition is satisfied.,91,0.5,1.685198777942761e-06,True,5.0,0.5,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,ad9a3125472395044b8d7022c0c00a674ccf394ad7a82f06410ffa0ac36ce14f,inherited_saved_rest,True,d64e8574a6a7ea7f32cac848dab048f0b2208d3c5c726832045243e21173301e
True,1.0,B00,2.0,True,True,2.0188962193507283e-23,6.353424730765056e-12,`xtol` termination condition is satisfied.,39,0.25,3.913168549893468e-07,True,1.0,0.25,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,778366b3d9173f67e4a677de04cb7e78afeb51d814d266a4a4f3b631a03f0613,continuation_predecessor,True,4b1591846af4b97e0fd1d9698218b7d3d2a9890074f5a55dd04cb0ee7755d321
True,1.0,B00,2.0,True,True,2.0190508301222357e-23,6.353424730765056e-12,`xtol` termination condition is satisfied.,99,0.25,3.9131668121877645e-07,True,1.0,0.25,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,cd654899393c3b4a8e9f01428070c71e199a4207e0dac68e99e9d260225b1048,task24_baseline_anchor,True,da94c8edff6aa0276b859c22900f131016a5a71bb2d0d17dc099681889e52d42
True,1.0,B00,2.0,True,True,2.018895269040423e-23,6.353424730765056e-12,`xtol` termination condition is satisfied.,164,0.25,3.9131704567441993e-07,True,1.0,0.25,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,ad9a3125472395044b8d7022c0c00a674ccf394ad7a82f06410ffa0ac36ce14f,inherited_saved_rest,True,e30444a4fb01b63e0fdaeb7788619544ef5dc305208113d2e191058f74053329
True,1.0,B00,5.0,True,True,1.5926746245723608e-23,5.640019701269594e-12,`xtol` termination condition is satisfied.,17,0.25,5.956729597887208e-07,True,2.0,0.25,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,e30444a4fb01b63e0fdaeb7788619544ef5dc305208113d2e191058f74053329,continuation_predecessor,True,062f63f40ffd51cf82f6c896dab0f41d291a82f3c36288ec8a7739d711b51241
True,1.0,B00,5.0,True,True,1.59266583584191e-23,5.640019701269594e-12,`xtol` termination condition is satisfied.,77,0.25,5.956728658673339e-07,True,2.0,0.25,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,cd654899393c3b4a8e9f01428070c71e199a4207e0dac68e99e9d260225b1048,task24_baseline_anchor,True,6761d4bfeeec62f760efed75ff1a7800bf5a496ff8d16d3637d09114472b55e0
True,1.0,B00,5.0,True,True,1.5926758135124862e-23,5.640019701269594e-12,`xtol` termination condition is satisfied.,149,0.25,5.956725946684106e-07,True,2.0,0.25,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,ad9a3125472395044b8d7022c0c00a674ccf394ad7a82f06410ffa0ac36ce14f,inherited_saved_rest,True,84e8df3d847ab934b8396133cf8ca0db79b4f6a16b714ed95b10fe548801c9d3
True,1.0,B00,10.0,True,True,7.839143886611365e-23,1.2483503813998098e-11,`xtol` termination condition is satisfied.,8,0.25,1.3307423313036657e-06,True,5.0,0.25,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,062f63f40ffd51cf82f6c896dab0f41d291a82f3c36288ec8a7739d711b51241,continuation_predecessor,True,50596625cf82f7c1e4000d8cd241ec293bb074f706d2bafb04c734fa48efe513
True,1.0,B00,10.0,True,True,1.863224021432099e-22,1.9246756965962675e-11,`xtol` termination condition is satisfied.,72,0.25,1.1907072053261116e-06,True,5.0,0.25,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,cd654899393c3b4a8e9f01428070c71e199a4207e0dac68e99e9d260225b1048,task24_baseline_anchor,True,da252c286eaef4f94f10bb1b8168dc9549744fef25bfdf09edd848ceb5f0909b
True,1.0,B00,10.0,True,True,7.839087520265457e-23,1.2483503813998098e-11,`xtol` termination condition is satisfied.,87,0.25,1.3307428410807592e-06,True,5.0,0.25,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,ad9a3125472395044b8d7022c0c00a674ccf394ad7a82f06410ffa0ac36ce14f,inherited_saved_rest,True,78b27839d30191742125d22c22aba14c6411985fb03d6fd186c6144e0ae620c3
True,1.0,B00,1.0,True,True,3.8888074277267946e-24,2.7538735181131813e-12,`xtol` termination condition is satisfied.,2,1.0,2.8212759233980394e-07,True,,,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,e6974ef18ba529af427e6cccb568e1cd2d132e3d32eda7cc5995337b4dcb9130,continuation_predecessor,True,769d5f2df3779a4b1d18c9c4aa0f6c2fd83a15d94deacb32c6811ed4b3d5c905
True,1.0,B00,1.0,True,True,3.8888074968458624e-24,2.7538735181131813e-12,`xtol` termination condition is satisfied.,189,1.0,2.821275892236603e-07,True,,,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,1c1b9bfc1eba9d989fed33af0601e3b3b729146bd0b340a32a5337e4624a3ce8,inherited_saved_rest,True,e6974ef18ba529af427e6cccb568e1cd2d132e3d32eda7cc5995337b4dcb9130
True,1.0,B00,1.0,True,True,8.395026917706035e-25,9.215718466126788e-13,`xtol` termination condition is satisfied.,76,0.5,1.0337940945941532e-07,True,1.0,1.0,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,769d5f2df3779a4b1d18c9c4aa0f6c2fd83a15d94deacb32c6811ed4b3d5c905,continuation_predecessor,True,bc8974af1562eb089bd9c8be4b27e8defaf2afe1da580ebe8d305d794282649b
True,1.0,B00,1.0,True,True,8.142429082156211e-25,9.215718466126788e-13,`xtol` termination condition is satisfied.,76,0.5,1.0315240329538405e-07,True,1.0,1.0,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,e6974ef18ba529af427e6cccb568e1cd2d132e3d32eda7cc5995337b4dcb9130,task24_baseline_anchor,True,16028eca5e6a2cb2757d51386c0b6cd515e75388f1e0e403ae2311dc601a09bf
True,1.0,B00,1.0,True,True,8.141595183501492e-25,9.215718466126788e-13,`xtol` termination condition is satisfied.,175,0.5,1.0315277635229505e-07,True,1.0,1.0,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,1c1b9bfc1eba9d989fed33af0601e3b3b729146bd0b340a32a5337e4624a3ce8,inherited_saved_rest,True,33fd8e23dfd5e0ed2b0e52f7d044046c62fc66dd2d7b27b8cddb1ae83dff54b6
True,1.0,B00,1.0,True,True,4.444471064794805e-25,9.085614205428527e-13,`xtol` termination condition is satisfied.,60,0.25,9.282661421191514e-08,True,1.0,0.5,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,33fd8e23dfd5e0ed2b0e52f7d044046c62fc66dd2d7b27b8cddb1ae83dff54b6,continuation_predecessor,True,ac81828f3e3ed1329051b94fb421295bbd759f1d5da4d35bd8ba9898c49813a8
True,1.0,B00,1.0,True,True,4.443922944944554e-25,9.085614205428527e-13,`xtol` termination condition is satisfied.,106,0.25,9.282646174035377e-08,True,1.0,0.5,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,e6974ef18ba529af427e6cccb568e1cd2d132e3d32eda7cc5995337b4dcb9130,task24_baseline_anchor,True,2c3b590e90a864c6313196f320249711190358c2827eb97e0e0bc82974f06229
True,1.0,B00,1.0,True,True,1.513857956175578e-23,2.953748357015229e-12,`xtol` termination condition is satisfied.,134,0.25,9.84335942971651e-08,True,1.0,0.5,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,1c1b9bfc1eba9d989fed33af0601e3b3b729146bd0b340a32a5337e4624a3ce8,inherited_saved_rest,True,201a41c09971b2cf301ef5e36db6d034152e606e4aa3dc1b234a298d8a4a467f
True,1.0,B00,2.0,True,True,4.914606889300862e-22,3.116213884157837e-11,`xtol` termination condition is satisfied.,54,1.0,1.979564748044012e-06,True,1.0,1.0,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,769d5f2df3779a4b1d18c9c4aa0f6c2fd83a15d94deacb32c6811ed4b3d5c905,continuation_predecessor,True,724432b698a930daebce4f95d7e9a9898074667dc996fe6d31769d3232f26cf7
True,1.0,B00,2.0,True,True,6.472341574512773e-25,9.84455572616838e-13,`xtol` termination condition is satisfied.,54,1.0,5.162077108795331e-08,True,1.0,1.0,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,e6974ef18ba529af427e6cccb568e1cd2d132e3d32eda7cc5995337b4dcb9130,task24_baseline_anchor,True,6c6cf74a7cda88eaf1782a6c16bfa99dd8290f379abf6343f2663585446a06e4
True,1.0,B00,2.0,True,True,5.8870282941244425e-24,3.0249240612345574e-12,`xtol` termination condition is satisfied.,136,1.0,3.291217660536204e-07,True,1.0,1.0,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,1c1b9bfc1eba9d989fed33af0601e3b3b729146bd0b340a32a5337e4624a3ce8,inherited_saved_rest,True,3e045c1332e4c3fa93c837d7582347187c07cc3b99da708eb86a4b218241c16c
True,1.0,B00,5.0,True,True,5.53145486449154e-23,1.0492908625314712e-11,`xtol` termination condition is satisfied.,35,1.0,6.602391114647214e-07,True,2.0,1.0,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,6c6cf74a7cda88eaf1782a6c16bfa99dd8290f379abf6343f2663585446a06e4,continuation_predecessor,True,5034d06ef36844870d732203a30683701cd501c2dadff79ea414545f99c1e0ab
True,1.0,B00,5.0,True,True,5.531448573025721e-23,1.0492908625314712e-11,`xtol` termination condition is satisfied.,63,1.0,6.60238881192523e-07,True,2.0,1.0,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,e6974ef18ba529af427e6cccb568e1cd2d132e3d32eda7cc5995337b4dcb9130,task24_baseline_anchor,True,461714b6e671c33c3f5406d0e4152bf1846ae839638c6a5f68a90375f0d79a82
True,1.0,B00,5.0,True,True,5.531452246671263e-23,1.0492908625314712e-11,`xtol` termination condition is satisfied.,133,1.0,6.602387400581742e-07,True,2.0,1.0,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,1c1b9bfc1eba9d989fed33af0601e3b3b729146bd0b340a32a5337e4624a3ce8,inherited_saved_rest,True,7f5c839f1e0726d45648d0ba048f9dd84bbf94c738e0748a35d74476a527def4
True,1.0,B00,10.0,True,True,9.302188863667113e-23,1.337038119109124e-11,`xtol` termination condition is satisfied.,20,1.0,1.4258035695801563e-06,True,5.0,1.0,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,461714b6e671c33c3f5406d0e4152bf1846ae839638c6a5f68a90375f0d79a82,continuation_predecessor,True,7cebb506e530448252c9f838315876e08607809d27d3b5322378d8786b120377
True,1.0,B00,10.0,True,True,5.955751299051211e-23,1.0913579068239088e-11,`xtol` termination condition is satisfied.,63,1.0,1.1466775977185835e-06,True,5.0,1.0,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,e6974ef18ba529af427e6cccb568e1cd2d132e3d32eda7cc5995337b4dcb9130,task24_baseline_anchor,True,fb7cdfbb9feaad36f607b02c82317dd142f7dde3d41887915bb17ce2a2608164
True,1.0,B00,10.0,True,True,1.6870736832738166e-22,1.8359879588869532e-11,`xtol` termination condition is satisfied.,88,1.0,1.1461394358794946e-06,True,5.0,1.0,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,1c1b9bfc1eba9d989fed33af0601e3b3b729146bd0b340a32a5337e4624a3ce8,inherited_saved_rest,True,f44cfc0982b0d25e0bcfffaca382f051c00be29b5a8324e049726a66c47d286f
True,1.0,B00,2.0,True,True,1.131029161880812e-22,1.4903443062985744e-11,`xtol` termination condition is satisfied.,49,0.5,9.470250081858634e-07,True,1.0,0.5,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,33fd8e23dfd5e0ed2b0e52f7d044046c62fc66dd2d7b27b8cddb1ae83dff54b6,continuation_predecessor,True,9a28408f9b43f4276c26544d1ae1b5976833b2b7ff71a4bf3ea56c8e683fa76a
True,1.0,B00,2.0,True,True,7.765537111999328e-23,1.2448809344478562e-11,`xtol` termination condition is satisfied.,83,0.5,7.799954699253688e-07,True,1.0,0.5,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,e6974ef18ba529af427e6cccb568e1cd2d132e3d32eda7cc5995337b4dcb9130,task24_baseline_anchor,True,3606b8823ccf2f081aef3464d0957ca36725808403996f7776a229b1be5a717a
True,1.0,B00,2.0,True,True,1.131028937452539e-22,1.4903443062985744e-11,`xtol` termination condition is satisfied.,145,0.5,9.470252856159991e-07,True,1.0,0.5,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,1c1b9bfc1eba9d989fed33af0601e3b3b729146bd0b340a32a5337e4624a3ce8,inherited_saved_rest,True,d631409a0aa55b370040739f2b2995c72b010df4a34979253b04fd760e8b1838
True,1.0,B00,5.0,True,True,7.950794161436763e-23,1.2585418818211735e-11,`xtol` termination condition is satisfied.,23,0.5,1.3252453067582686e-06,True,2.0,0.5,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,3606b8823ccf2f081aef3464d0957ca36725808403996f7776a229b1be5a717a,continuation_predecessor,True,120ebde811e4ced76930f3f827d4e73511a3db2430f6b88b58c3a05770720d03
True,1.0,B00,5.0,True,True,7.950796002274318e-23,1.2585418818211735e-11,`xtol` termination condition is satisfied.,69,0.5,1.3252449355809959e-06,True,2.0,0.5,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,e6974ef18ba529af427e6cccb568e1cd2d132e3d32eda7cc5995337b4dcb9130,task24_baseline_anchor,True,85705ab76ad7b5a912c1f9d2acb6ca0cc08dd1cac341ac3d982c82357f9d8acd
True,1.0,B00,5.0,True,True,7.950797881701705e-23,1.2585418818211735e-11,`xtol` termination condition is satisfied.,153,0.5,1.3252449445149528e-06,True,2.0,0.5,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,1c1b9bfc1eba9d989fed33af0601e3b3b729146bd0b340a32a5337e4624a3ce8,inherited_saved_rest,True,b50c545ece86b2388129721ca67980da2315d73884bc06e0daf4e580a4f150c4
True,1.0,B00,10.0,True,True,3.5645065619459717e-22,2.6660531421418554e-11,`xtol` termination condition is satisfied.,12,0.5,2.807489123653178e-06,True,5.0,0.5,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,85705ab76ad7b5a912c1f9d2acb6ca0cc08dd1cac341ac3d982c82357f9d8acd,continuation_predecessor,True,4f78d644f35299aaf444fac3ade5aa543db472ea05dc10eb1f6e20e61ccbc43b
