target_id,study_year,doi,source_location,evidence_class,system,comparison,protocol,observable,value,value_text,unit,uncertainty,uncertainty_type,n,n_unit,statistics,model_use,strength,notes
AE4_KO_REST_PH,2015,10.1074/jbc.M114.612895,Table 1,direct_measurement,isolated_mouse_SMG_acinar_cells,AE4_KO,physiological_HCO3_solution_rest,resting_pH_i,6.89,,pH,0.02,SEM,4,cell_experiments,no_detectable_difference,heldout_validation,high,
AE2_CONTROL_REST_PH,2015,10.1074/jbc.M114.612895,Table 1,direct_measurement,isolated_mouse_SMG_acinar_cells,AE2_control,physiological_HCO3_solution_rest,resting_pH_i,6.87,,pH,0.01,SEM,4,cell_experiments,,contextual_rest_target,high,
AE2_KO_REST_PH,2015,10.1074/jbc.M114.612895,Table 1,direct_measurement,isolated_mouse_SMG_acinar_cells,AE2_KO,physiological_HCO3_solution_rest,resting_pH_i,6.95,,pH,0.05,SEM,6,cell_experiments,no_detectable_difference,heldout_validation,high,
AE4_WT_CL_UPTAKE_CCH_IPR,2015,10.1074/jbc.M114.612895,Figure 1C and Table 1,direct_measurement,isolated_mouse_SMG_acinar_cells,AE4_WT,0.3_uM_CCh_plus_5_uM_IPR,initial_Cl_uptake_rate,2.02,,1e-3_per_s,0.10,SEM,10,cell_experiments,,independent_stimulus_context,high,
AE4_KO_CL_UPTAKE_CCH_IPR,2015,10.1074/jbc.M114.612895,Figure 1C and Table 1,direct_measurement,isolated_mouse_SMG_acinar_cells,AE4_KO,0.3_uM_CCh_plus_5_uM_IPR,initial_Cl_uptake_rate,0.90,,1e-3_per_s,0.09,SEM,9,cell_experiments,Student_t_p_lt_0.001,heldout_validation,high,Reported reduction_55.4_plusminus_4.5_percent
AE4_WT_CL_UPTAKE_CCH,2015,10.1074/jbc.M114.612895,Table 1,direct_measurement,isolated_mouse_SMG_acinar_cells,AE4_WT,CCh_only,initial_Cl_uptake_rate,2.18,,1e-3_per_s,0.20,SEM,7,cell_experiments,no_genotype_difference,independent_stimulus_context,high,
AE4_KO_CL_UPTAKE_CCH,2015,10.1074/jbc.M114.612895,Table 1,direct_measurement,isolated_mouse_SMG_acinar_cells,AE4_KO,CCh_only,initial_Cl_uptake_rate,2.30,,1e-3_per_s,0.10,SEM,6,cell_experiments,no_genotype_difference,heldout_validation,high,
AE4_WT_CL_UPTAKE_IPR,2015,10.1074/jbc.M114.612895,Table 1,direct_measurement,isolated_mouse_SMG_acinar_cells,AE4_WT,5_uM_IPR_only,initial_Cl_uptake_rate,0.40,,1e-3_per_s,0.07,SEM,4,cell_experiments,,independent_stimulus_context,high,
AE4_KO_CL_UPTAKE_IPR,2015,10.1074/jbc.M114.612895,Table 1,direct_measurement,isolated_mouse_SMG_acinar_cells,AE4_KO,5_uM_IPR_only,initial_Cl_uptake_rate,0.20,,1e-3_per_s,0.03,SEM,7,cell_experiments,Student_t_p_lt_0.05,heldout_validation,high,
AE4_CONTROL_IPR_REUPTAKE_BASE,2015,10.1074/jbc.M114.612895,Results text after Figures 3_to_5,direct_measurement,isolated_mouse_SMG_acinar_cells,control,Cl_depletion_reuptake_without_IPR,Cl_uptake_rate,1.56,,1e-3_per_s,0.19,SEM,10,cell_experiments,,independent_regulation_context,high,
AE4_CONTROL_IPR_REUPTAKE_STIM,2015,10.1074/jbc.M114.612895,Results text after Figures 3_to_5,direct_measurement,isolated_mouse_SMG_acinar_cells,control,Cl_depletion_reuptake_plus_5_uM_IPR,Cl_uptake_rate,4.33,,1e-3_per_s,0.91,SEM,13,cell_experiments,Student_t_p_0.016,independent_regulation_context,high,Nearly_3_fold total exchanger response
AE4_KO_IPR_REUPTAKE_BASE,2015,10.1074/jbc.M114.612895,Results text after Figures 3_to_5,direct_measurement,isolated_mouse_SMG_acinar_cells,AE4_KO,Cl_depletion_reuptake_without_IPR,Cl_uptake_rate,0.95,,1e-3_per_s,0.10,SEM,8,cell_experiments,,heldout_validation,high,
AE4_KO_IPR_REUPTAKE_STIM,2015,10.1074/jbc.M114.612895,Results text after Figures 3_to_5,direct_measurement,isolated_mouse_SMG_acinar_cells,AE4_KO,Cl_depletion_reuptake_plus_5_uM_IPR,Cl_uptake_rate,1.08,,1e-3_per_s,0.09,SEM,9,cell_experiments,Student_t_p_0.366,heldout_validation,high,No_detectable_IPR_activation_without_AE4
AE4_WT_HCO3_SECRETION,2015,10.1074/jbc.M114.612895,Results after Table 1,direct_measurement,ex_vivo_mouse_SMG,AE4_WT,0.3_uM_CCh_plus_5_uM_IPR_10_min,HCO3_secreted,5.3,,microequiv_per_10_min,1.4,SEM,7,glands_or_mice,,independent_phenotype_constraint,high,
AE4_KO_HCO3_SECRETION,2015,10.1074/jbc.M114.612895,Results after Table 1,direct_measurement,ex_vivo_mouse_SMG,AE4_KO,0.3_uM_CCh_plus_5_uM_IPR_10_min,HCO3_secreted,7.1,,microequiv_per_10_min,0.8,SEM,7,glands_or_mice,Student_t_p_0.28,heldout_validation,high,No_detectable_reduction
AE4_KO_NKCC1_ACTIVITY,2015,10.1074/jbc.M114.612895,Figure 2A_B,direct_measurement,isolated_mouse_SMG_acinar_cells,AE4_KO_vs_control,HCO3_free_plus_EZA_plus_T16Ainh_A01,NKCC1_dependent_Cl_uptake,,no_detectable_difference,,,,,,bumetanide_reduced_response_95.6_plusminus_0.9_percent,qualitative_validation,moderate,Runs against simple NKCC1 compensation explanation
AE4_KO_NHE_ACTIVITY,2015,10.1074/jbc.M114.612895,Figure 2C and compensation Results,direct_measurement,isolated_mouse_SMG_acinar_cells,AE4_KO_vs_control,stimulation,NHE_mediated_alkalinization,,no_detectable_difference,,,,,,,qualitative_validation,moderate,Does_not_directly_measure_carbonic_anhydrase
AE4_NATIVE_NA_DEPENDENCE,2016,10.1085/jgp.201611571,Figure 1A_B,direct_measurement,AE2_KO_mouse_SMG_acinar_cells,Na_vs_NMDG_and_AE2_AE4_double_KO,external_Cl_128.3_to_4_mM,alkalinization_rate,,Na_dependent_and_double_KO_absent,,,,8_Na_7_Na_free_8_double_KO,cell_experiments,ANOVA_Bonferroni_p_lt_0.05,mechanism_constraint,high,At_least_3_cell_preparations
AE4_NA_TRANSPORT_REVERSAL,2016,10.1085/jgp.201611571,Figure 3,direct_measurement,AE4_transfected_CHO_K1,AE4_vs_nontransfected,low_external_Cl_then_Cl_restoration,SBFI_Na_signal,,Na_rises_with_HCO3_and_reverses_with_Cl_restoration,,,,15_AE4_13_control,cells,,mechanism_constraint,high,NaK_ATPase_may_contribute_to_recovery
AE4_ELECTRONEUTRAL_DVM,2016,10.1085/jgp.201611571,Figure 4A_D,direct_measurement,AE4_transfected_CHO_K1,AE4_vs_nontransfected,low_Cl_Na_free_to_low_Cl_Na_containing,change_in_membrane_potential,,less_than_2,mV,,SEM,7_AE4_8_control,cells,,mechanism_constraint,high,Current_clamp_with_simultaneous_SPQ
AE4_CURRENT_MINUS100,2016,10.1085/jgp.201611571,Figure 4 Results,direct_measurement,AE4_transfected_CHO_K1,AE4_vs_nontransfected,Na_addition_at_minus_100_mV,current_density_change,-1.68,,pA_per_pF,0.44,SEM,5,cells,AE4_vs_control_minus1.27_plusminus0.46_p_0.54,mechanism_constraint,high,No_AE4_specific_current
AE4_CURRENT_ZERO,2016,10.1085/jgp.201611571,Figure 4 Results,direct_measurement,AE4_transfected_CHO_K1,AE4_vs_nontransfected,Na_addition_at_0_mV,current_density_change,-0.28,,pA_per_pF,0.09,SEM,5,cells,AE4_vs_control_minus0.21_plusminus0.14_p_0.69,mechanism_constraint,high,No_AE4_specific_current
AE4_K_TRANSPORT,2016,10.1085/jgp.201611571,Figure 8C_D,direct_measurement,AE4_transfected_CHO_K1,AE4_vs_nontransfected,Na_free_inward_Cl_outward_K_gradients,PBFI_K_signal,,sustained_K_efflux_in_AE4_cells,,,,6_AE4_8_control,cells,,mechanism_constraint,high,Supports_transported_K_not_only_external_gating
AE4_CATION_SELECTIVITY,2016,10.1085/jgp.201611571,Figure 8A_B,direct_measurement,AE4_transfected_CHO_K1,Na_K_Li_Rb_Cs_vs_NMDG,low_external_Cl,alkalinization,,robust_for_all_tested_monovalent_inorganic_cations,,,,10_Na_8_K_6_each_other,cells,mean_plusminus_SEM,mechanism_constraint,high,Poor_selectivity_not_equal_flux_partition
AE4_NA_EC50,2016,10.1085/jgp.201611571,Figure 9 and Methods Eq_4,reported_Hill_fit,AE4_transfected_CHO_K1,external_Na_dose,5_to_150_mM,EC50,49,,mM,,not_reported,at_least_4_per_condition,experiments,,independent_shape_constraint,moderate,At_least_3_electroporations
AE4_NA_HILL,2016,10.1085/jgp.201611571,Figure 9 and Methods Eq_4,reported_Hill_fit,AE4_transfected_CHO_K1,external_Na_dose,5_to_150_mM,Hill_coefficient,2.0,,dimensionless,,not_reported,at_least_4_per_condition,experiments,,independent_shape_constraint,moderate,Does_not_measure_cation_stoichiometry
AE4_NA_RMIN,2016,10.1085/jgp.201611571,Figure 9 and Methods Eq_4,reported_Hill_fit,AE4_transfected_CHO_K1,external_Na_dose,5_to_150_mM,Rmin,0.3,,1e-3_per_s, ,not_reported,at_least_4_per_condition,experiments,,independent_shape_constraint,moderate,Paper_alkalinization_rate_convention
AE4_NA_RMAX,2016,10.1085/jgp.201611571,Figure 9 and Methods Eq_4,reported_Hill_fit,AE4_transfected_CHO_K1,external_Na_dose,5_to_150_mM,Rmax,1.5,,1e-3_per_s,,not_reported,at_least_4_per_condition,experiments,,independent_shape_constraint,moderate,Not_native_capacity
AE4_K_EC50,2016,10.1085/jgp.201611571,Figure 9 and Methods Eq_4,reported_Hill_fit,AE4_transfected_CHO_K1,external_K_dose,5_to_150_mM,EC50,62,,mM,,not_reported,at_least_4_per_condition,experiments,,independent_shape_constraint,moderate,At_least_3_electroporations
AE4_K_HILL,2016,10.1085/jgp.201611571,Figure 9 and Methods Eq_4,reported_Hill_fit,AE4_transfected_CHO_K1,external_K_dose,5_to_150_mM,Hill_coefficient,1.8,,dimensionless,,not_reported,at_least_4_per_condition,experiments,,independent_shape_constraint,moderate,Does_not_measure_cation_stoichiometry
AE4_K_RMIN,2016,10.1085/jgp.201611571,Figure 9 and Methods Eq_4,reported_Hill_fit,AE4_transfected_CHO_K1,external_K_dose,5_to_150_mM,Rmin,0.4,,1e-3_per_s,,not_reported,at_least_4_per_condition,experiments,,independent_shape_constraint,moderate,Paper_alkalinization_rate_convention
AE4_K_RMAX,2016,10.1085/jgp.201611571,Figure 9 and Methods Eq_4,reported_Hill_fit,AE4_transfected_CHO_K1,external_K_dose,5_to_150_mM,Rmax,1.6,,1e-3_per_s,,not_reported,at_least_4_per_condition,experiments,,independent_shape_constraint,moderate,Not_native_capacity
AE4_STOICHIOMETRY_SET,2016,10.1085/jgp.201611571,Figure 7 and Methods Eqs_1_to_3,author_considered_interpretation,thermodynamic_calculation,three_electroneutral_candidates,Na_only_reference_concentrations,Cl_cation_HCO3_stoichiometry,,1_1_2_or_1_2_3_or_2_1_3,,,,,,,candidate_family,moderate,None_is_directly_measured
AE4_STOICH_112_STATUS,2016,10.1085/jgp.201611571,Figure 10,working_model_interpretation,thermodynamic_calculation,pooled_Na_K_assumption,physiological_reference_concentrations,stoichiometry_status,,proposed_working_model_not_selected,,,,,,,candidate_family,moderate,Figure10_assumes_equal_Na_K_transport_and_total_cation_balance
AE4_HILL_INTERPRETATION,2016,10.1085/jgp.201611571,Discussion after Figure 10,author_considered_interpretation,AE4_mechanism,transported_cation_plus_possible_regulation,Hill_2.0_and_1.8,mechanistic_alternatives,,multiple_transported_cations_or_additional_allosteric_regulation,,,,,,,candidate_family,moderate,Purely_nontransported_cation_gate_conflicts_with_Na_and_K_fluxes
AE4_PKA_WT_TOTAL_FOLD,2021,10.1152/ajpgi.00145.2021,Figure 1B,figure_derived_approximation,WT_mouse_SMG_acinar_cells,5_uM_IPR_vs_control,SPQ_reuptake_with_50_uM_bumetanide_and_T16Ainh_A01,activity_fold,1.6,,stimulated_over_control,,not_reported_for_ratio,11_control_12_IPR,experiments,underlying_measurement_p_lt_0.001,sensitivity_envelope,moderate,Contains_AE2_plus_AE4_and_is_not_AE4_specific
AE4_PKA_NATIVE_ONLY_FOLD,2021,10.1152/ajpgi.00145.2021,Figure 1C,figure_derived_approximation,AE2_KO_mouse_SMG_acinar_cells,5_uM_IPR_vs_control,SPQ_reuptake_with_50_uM_bumetanide_and_T16Ainh_A01,activity_fold,3.0,,stimulated_over_control,,not_reported_for_ratio,12_control_11_IPR_7_IPR_H89,experiments,Kruskal_Wallis_p_lt_0.0001_and_p_lt_0.05,sensitivity_envelope,moderate,Native_AE4_specific_initial_rate_not_sustained_gland_capacity
AE4_PKA_H89_NATIVE,2021,10.1152/ajpgi.00145.2021,Figure 1C,direct_measurement,AE2_KO_mouse_SMG_acinar_cells,IPR_vs_IPR_after_10_uM_H89,5_uM_IPR,Cl_uptake_rate,,H89_prevents_activation,,,,11_IPR_7_IPR_H89,experiments,Kruskal_Wallis,mechanism_constraint,high,H89_is_nonselective
AE4_PKA_RECOMBINANT_FOLD,2021,10.1152/ajpgi.00145.2021,Figure 2C,figure_derived_approximation,AE4_transfected_CHO_K1,10_uM_forskolin_vs_control,BCECF_low_Cl_alkalinization,activity_fold,1.25,,stimulated_over_control,,not_reported_for_ratio,40_control_39_forskolin_41_forskolin_H89,cells,Kruskal_Wallis_p_lt_0.0001_and_p_lt_0.01,sensitivity_envelope,moderate,At_least_3_electroporations
AE4_PKAC_HCO3_FLUX,2021,10.1152/ajpgi.00145.2021,Figure 3A_B,direct_measurement,AE4_transfected_CHO_K1,PKAc_vs_K73M_dominant_negative,BCECF_low_Cl_alkalinization,alkalinization_rate,,increased_by_PKAc,,,,18_PKAc_16_DN,cells,Mann_Whitney_p_lt_0.005,mechanism_constraint,high,At_least_3_electroporations
AE4_PKAC_CL_FLUX,2021,10.1152/ajpgi.00145.2021,Figure 3C_D,direct_measurement,AE4_transfected_CHO_K1,PKAc_vs_K73M_dominant_negative,SPQ_low_Cl_efflux,Cl_efflux_rate,,increased_by_PKAc,,,,8_PKAc_9_DN,cells,Mann_Whitney_p_lt_0.005,mechanism_constraint,high,Independent_ion_readout
AE4_S173_DEPENDENCE,2021,10.1152/ajpgi.00145.2021,Figures 5_and_6,direct_mutational_assay,AE4_transfected_CHO_K1,S173A_PKAc_vs_S173A_DN,BCECF_low_Cl_alkalinization,PKA_activation,,not_detected_for_S173A,,,,15_PKAc_14_DN,cells,not_significant,mechanism_constraint,moderate,Mutant_is_functional_and_membrane_localized_but_phosphorylation_not_directly_measured
AE4_S273_DEPENDENCE,2021,10.1152/ajpgi.00145.2021,Figures 5_and_6,direct_mutational_assay,AE4_transfected_CHO_K1,S273A_PKAc_vs_S273A_DN,BCECF_low_Cl_alkalinization,PKA_activation,,retained_for_S273A,,,,12_PKAc_12_DN,cells,Student_t_p_lt_0.01,mechanism_constraint,moderate,At_least_3_electroporations
AE4_PKA_MACROSCOPIC_AMBIGUITY,2021,10.1152/ajpgi.00145.2021,Discussion,author_interpretation,macroscopic_dye_assays,unresolved_activation_mechanism,,possible_PKA_effect,,turnover_or_active_number_or_stoichiometry_change,,,,,,,model_boundary,high,Do_not_claim_the_assay_selects_one
