calcium_uM,change_from_5pct_percentage_points,change_percent,endpoint_change_cell_hco3_mM,endpoint_change_cell_ph,endpoint_change_cell_tic_mM,exact_null_lowers_secretion,interpretation,null_endpoint_cell_hco3_mM,null_endpoint_cell_ph,null_endpoint_cell_tic_mM,null_to_wt_ratio,null_total_0_600_pL,numerical_pair_available,paired_gate_pass,root_alias,root_id,routing_family,saved_task24_5pct_change_percent,saved_task24_5pct_to_wt_ratio,status,wt_endpoint_cell_hco3_mM,wt_endpoint_cell_ph,wt_endpoint_cell_tic_mM,wt_relative_difference_from_saved_task24,wt_total_0_600_pL
0.25,,,,,,,,,,,,,False,False,R04,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,,1.0051483275213846,not_computed_no_closed_null_rest,,,,,1.1736088774029816
0.5,,,,,,,,,,,,,False,False,R04,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,,1.00581200626494,not_computed_no_closed_null_rest,,,,,1.2448920534634695
0.1,3.6111480341312507,4.297016423572209,72.02662546249837,1.1214862808032704,72.57751092307174,False,formal model contrast; physiological validity requires both resting states to be admissible,76.85694845096069,8.008339476215625,78.19878308347141,1.042970164235722,0.8725325748077942,True,False,R05,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,0.6858683894409578,1.0068586838944096,formal_contrast_from_closed_equilibrium,4.8303229884623065,6.886853195412354,5.6212721603996645,0.0,0.836584405506151
0.25,9.364035822864292,10.310040455734693,74.45720054799276,1.1398894244514715,75.05583201124848,False,formal model contrast; physiological validity requires both resting states to be admissible,79.05037304902568,8.014506108782687,80.42251380998248,1.103100404557347,1.0873586714485346,True,False,R05,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,0.9460046328704008,1.009460046328704,formal_contrast_from_closed_equilibrium,4.593172501032931,6.874616684331215,5.366681798733993,3.2099429326727266e-14,0.9857295554930657
0.5,11.692658142296475,12.729538580670008,75.23485717293018,1.1455198666240287,75.84800636107754,False,formal model contrast; physiological validity requires both resting states to be admissible,79.76212398541219,8.016486398282908,81.14409000524587,1.1272953858067,1.1582261372065177,True,False,R05,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,1.036880438373533,1.0103688043837353,formal_contrast_from_closed_equilibrium,4.527266812482016,6.870966531658879,5.296083644168328,3.8468441865640664e-14,1.0274380182774219
0.1,,,,,,,,,,,,,False,False,R06,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,,1.004318029830026,not_computed_no_closed_null_rest,,,,,0.9658403178985452
0.25,,,,,,,,,,,,,False,False,R06,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,,1.00593600639996,not_computed_no_closed_null_rest,,,,,1.1823537657105034
0.5,,,,,,,,,,,,,False,False,R06,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,,1.0066198735565475,not_computed_no_closed_null_rest,,,,,1.2495786248922687
0.1,3.121931416368162,3.7448301779747117,70.20034948788107,1.112904632751322,70.73103823226116,False,formal model contrast; physiological validity requires both resting states to be admissible,75.01818860628558,7.997474981643178,76.34192052428268,1.0374483017797471,0.8536239525719012,True,False,R07,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,AE4NA05,0.6228987616065496,1.0062289876160655,formal_contrast_from_closed_equilibrium,4.817839118404504,6.884570348891856,5.6108822920215236,0.0,0.8228110751229778
0.25,7.757206897252877,8.62243797984541,72.58502704435844,1.1306039525479346,73.1616190495598,False,formal model contrast; physiological validity requires both resting states to be admissible,77.18345761088224,8.003935041385041,78.53672992512934,1.086224379798454,1.0511475424501606,True,False,R07,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,AE4NA05,0.8652310825925325,1.0086523108259253,formal_contrast_from_closed_equilibrium,4.5984305665237954,6.873331088837107,5.3751108755695265,3.2123593971795636e-15,0.9677075584007773
0.5,9.747458689733035,10.705338192173297,73.357239230272,1.1361158625422512,73.94799003468397,False,formal model contrast; physiological validity requires both resting states to be admissible,77.8935337513584,8.006053696257881,79.256453326939,1.107053381921733,1.1185250569425567,True,False,R07,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,AE4NA05,0.957879502440262,1.0095787950244026,formal_contrast_from_closed_equilibrium,4.536294521086411,6.86993783371563,5.308463292255023,3.5162767867413712e-15,1.0103623503691483
0.1,,,,,,,,,,,,,False,False,R08,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,AE4NA20,,1.0038314493169715,not_computed_no_closed_null_rest,,,,,0.938825324946906
0.25,,,,,,,,,,,,,False,False,R08,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,AE4NA20,,1.0052536451621135,not_computed_no_closed_null_rest,,,,,1.1461149539293651
0.5,,,,,,,,,,,,,False,False,R08,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,AE4NA20,,1.00591917788516,not_computed_no_closed_null_rest,,,,,1.2150772563152121
0.1,3.3229512354566504,3.9728128678944152,70.57779522011289,1.1147803207177978,71.11354451173574,False,formal model contrast; physiological validity requires both resting states to be admissible,75.39111204468067,7.999801762390443,76.71834143960452,1.0397281286789442,0.8765562129135355,True,False,R09,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,AE4NA05,0.6498616324377648,1.0064986163243776,formal_contrast_from_closed_equilibrium,4.813316824567772,6.885021441672645,5.604796927868778,0.0,0.8430629014791287
0.25,8.346008203490008,9.24540246420651,73.04835142990667,1.133106254941505,73.63164362213826,False,formal model contrast; physiological validity requires both resting states to be admissible,77.63427145085132,8.006391573476868,78.99221218038424,1.092454024642065,1.0818265243647125,True,False,R09,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,AE4NA05,0.8993942607165017,1.008993942607165,formal_contrast_from_closed_equilibrium,4.585920020944645,6.8732853185353635,5.360568558245992,2.242258965159462e-16,0.9902719015742245
0.5,10.41893703938095,11.408395305843122,73.83553348714373,1.1387129581806983,74.43324678298636,False,formal model contrast; physiological validity requires both resting states to be admissible,78.35826087655455,8.008505726705268,79.72608961705438,1.1140839530584312,1.1498525258352477,True,False,R09,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,AE4NA05,0.9894582664621732,1.0098945826646217,formal_contrast_from_closed_equilibrium,4.5227273894108135,6.86979276852457,5.292842834068026,1.8716957463438594e-14,1.032105814538144
0.1,,,,,,,,,,,,,False,False,R10,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,AE4NA20,,1.0040621213192498,not_computed_no_closed_null_rest,,,,,0.9694972089566685
0.25,,,,,,,,,,,,,False,False,R10,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,AE4NA20,,1.0055918313896086,not_computed_no_closed_null_rest,,,,,1.1835007040943835
0.5,,,,,,,,,,,,,False,False,R10,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,AE4NA20,,1.0062617021044191,not_computed_no_closed_null_rest,,,,,1.2517341985155694
