path,format,logical_content,manuscript_mapping,source_relation,embedded_chronology,published_2018_relation,inspection
archive/legacy-2017/Figure8-eps-converted-to.pdf,PDF,"normalized dQ/dG4 and dQ/dG2 sensitivity to Ae4 forward coefficient k1 over 50 to 150 percent","Ae4_Basis figure 3 panel C","epstopdf conversion of Figure8.eps","Ghostscript 9.10; conversion logged 2017-06-09","no published panel","rendered and text-extracted"
archive/legacy-2017/Figure9.eps,EPS,"normalized dQ/dG4 and dQ/dG2 sensitivity to Ae4 reverse coefficient k2 over 50 to 150 percent","Ae4_Basis figure 3 panel D","primary MATLAB vector plot","MATLAB R2014b; created 2017-06-09 13:40:26","no published panel","DSC metadata and direct converted-PDF render/text"
archive/legacy-2017/Figure9-eps-converted-to.pdf,PDF,"normalized dQ/dG4 and dQ/dG2 sensitivity to Ae4 reverse coefficient k2 over 50 to 150 percent","Ae4_Basis figure 3 panel D","epstopdf conversion of Figure9.eps","Ghostscript 9.10; conversion logged 2017-06-09","no published panel","rendered and text-extracted"
archive/legacy-2017/Figure10.eps,EPS,"normalized dQ/dG4 and dQ/dG2 sensitivity to Ae2 KCl over 50 to 150 percent","Ae4_Basis figure 3 panel E","primary MATLAB vector plot","MATLAB R2014b; created 2017-06-09 13:51:22","no published panel","DSC metadata and direct converted-PDF render/text"
archive/legacy-2017/Figure10-eps-converted-to.pdf,PDF,"normalized dQ/dG4 and dQ/dG2 sensitivity to Ae2 KCl over 50 to 150 percent","Ae4_Basis figure 3 panel E","epstopdf conversion of Figure10.eps","Ghostscript 9.10; conversion logged 2017-06-09","no published panel","rendered and text-extracted"
archive/legacy-2017/Figure11.eps,EPS,"normalized dQ/dG4 and dQ/dG2 sensitivity to Ae2 KB over 50 to 150 percent","Ae4_Basis figure 3 panel F","primary MATLAB vector plot","MATLAB R2014b; created 2017-06-09 13:55:46","no published panel","DSC metadata and direct converted-PDF render/text"
archive/legacy-2017/Figure11-eps-converted-to.pdf,PDF,"normalized dQ/dG4 and dQ/dG2 sensitivity to Ae2 KB over 50 to 150 percent","Ae4_Basis figure 3 panel F","epstopdf conversion of Figure11.eps","Ghostscript 9.10; conversion logged 2017-06-09","no published panel","rendered and text-extracted"
archive/legacy-2017/Figure12.eps,EPS,"normalized dQ/dG4 and dQ/dG2 sensitivity to Nhe1 KNa over 50 to 150 percent","Ae4_Basis figure 4 panel A","primary MATLAB vector plot","MATLAB R2014b; created 2017-06-09 14:03:52","no published panel","DSC metadata and direct converted-PDF render/text"
archive/legacy-2017/Figure12-eps-converted-to.pdf,PDF,"normalized dQ/dG4 and dQ/dG2 sensitivity to Nhe1 KNa over 50 to 150 percent","Ae4_Basis figure 4 panel A","epstopdf conversion of Figure12.eps","Ghostscript 9.10; conversion logged 2017-06-09","no published panel","rendered and text-extracted"
archive/legacy-2017/Figure13.eps,EPS,"normalized dQ/dG4 and dQ/dG2 sensitivity to Nhe1 KH over 50 to 150 percent","Ae4_Basis figure 4 panel B","primary MATLAB vector plot","MATLAB R2014b; created 2017-06-09 14:08:39","no published panel","DSC metadata and direct converted-PDF render/text"
archive/legacy-2017/Figure13-eps-converted-to.pdf,PDF,"normalized dQ/dG4 and dQ/dG2 sensitivity to Nhe1 KH over 50 to 150 percent","Ae4_Basis figure 4 panel B","epstopdf conversion of Figure13.eps","Ghostscript 9.10; conversion logged 2017-06-09","no published panel","rendered and text-extracted"
archive/legacy-2017/Figure14.eps,EPS,"normalized dQ/dG4 and dQ/dG2 sensitivity to Nkcc1 a1 over 50 to 150 percent","Ae4_Basis figure 2 panel C","primary MATLAB vector plot","MATLAB R2014b; created 2017-06-09 14:54:02","no published panel","DSC metadata and direct converted-PDF render/text"
archive/legacy-2017/Figure14-eps-converted-to.pdf,PDF,"normalized dQ/dG4 and dQ/dG2 sensitivity to Nkcc1 a1 over 50 to 150 percent","Ae4_Basis figure 2 panel C","epstopdf conversion of Figure14.eps","Ghostscript 9.10; conversion logged 2017-06-09","no published panel","rendered and text-extracted"
archive/legacy-2017/Figure15.eps,EPS,"normalized dQ/dG4 and dQ/dG2 sensitivity to Nkcc1 a2 over 50 to 150 percent","Ae4_Basis figure 2 panel D","primary MATLAB vector plot","MATLAB R2014b; created 2017-06-09 14:52:10","no published panel","DSC metadata and direct converted-PDF render/text"
archive/legacy-2017/Figure15-eps-converted-to.pdf,PDF,"normalized dQ/dG4 and dQ/dG2 sensitivity to Nkcc1 a2 over 50 to 150 percent","Ae4_Basis figure 2 panel D","epstopdf conversion of Figure15.eps","Ghostscript 9.10; conversion logged 2017-06-09","no published panel","rendered and text-extracted"
archive/legacy-2017/Figure16.eps,EPS,"normalized dQ/dG4 and dQ/dG2 sensitivity to Nkcc1 a3 over 50 to 150 percent","Ae4_Basis figure 2 panel E","primary MATLAB vector plot","MATLAB R2014b; created 2017-06-09 14:47:07","no published panel","DSC metadata and direct converted-PDF render/text"
archive/legacy-2017/Figure16-eps-converted-to.pdf,PDF,"normalized dQ/dG4 and dQ/dG2 sensitivity to Nkcc1 a3 over 50 to 150 percent","Ae4_Basis figure 2 panel E","epstopdf conversion of Figure16.eps","Ghostscript 9.10; conversion logged 2017-06-09","no published panel","rendered and text-extracted"
archive/legacy-2017/Figure17.eps,EPS,"normalized dQ/dG4 and dQ/dG2 sensitivity to Nkcc1 a4 over 50 to 150 percent","Ae4_Basis figure 2 panel F","primary MATLAB vector plot","MATLAB R2014b; created 2017-06-09 14:45:32","no published panel","DSC metadata and direct converted-PDF render/text"
archive/legacy-2017/Figure17-eps-converted-to.pdf,PDF,"normalized dQ/dG4 and dQ/dG2 sensitivity to Nkcc1 a4 over 50 to 150 percent","Ae4_Basis figure 2 panel F","epstopdf conversion of Figure17.eps","Ghostscript 9.10; conversion logged 2017-06-09","no published panel","rendered and text-extracted"
archive/legacy-2017/Figure18.eps,EPS,"normalized dQ/dG4 and dQ/dG2 sensitivity to NaK rate r over 50 to 150 percent","Ae4_Basis figure 3 panel A","primary MATLAB vector plot","MATLAB R2014b; created 2017-06-09 14:43:46","no published panel","DSC metadata and direct converted-PDF render/text"
archive/legacy-2017/Figure18-eps-converted-to.pdf,PDF,"normalized dQ/dG4 and dQ/dG2 sensitivity to NaK rate r over 50 to 150 percent","Ae4_Basis figure 3 panel A","epstopdf conversion of Figure18.eps","Ghostscript 9.10; conversion logged 2017-06-09","no published panel","rendered and text-extracted"
archive/legacy-2017/Figure19.eps,EPS,"normalized dQ/dG4 and dQ/dG2 sensitivity to NaK alpha1 over 50 to 150 percent","Ae4_Basis figure 3 panel B","primary MATLAB vector plot","MATLAB R2014b; created 2017-06-09 14:41:48","no published panel","DSC metadata and direct converted-PDF render/text"
archive/legacy-2017/Figure19-eps-converted-to.pdf,PDF,"normalized dQ/dG4 and dQ/dG2 sensitivity to NaK alpha1 over 50 to 150 percent","Ae4_Basis figure 3 panel B","epstopdf conversion of Figure19.eps","Ghostscript 9.10; conversion logged 2017-06-09","no published panel","rendered and text-extracted"
archive/legacy-2017/Figure20.eps,EPS,"normalized dQ/dG4 and dQ/dG2 sensitivity to KCaCC near its baseline","Ae4_Basis figure 2 panel B","primary MATLAB vector plot","MATLAB R2014b; created 2017-06-09 15:06:15","no published panel","DSC metadata and direct converted-PDF render/text"
archive/legacy-2017/Figure20-eps-converted-to.pdf,PDF,"normalized dQ/dG4 and dQ/dG2 sensitivity to KCaCC near its baseline","Ae4_Basis figure 2 panel B","epstopdf conversion of Figure20.eps","Ghostscript 9.10; conversion logged 2017-06-09","no published panel","rendered and text-extracted"
archive/legacy-2017/Figure3.pdf,PDF,"monochrome normalized-flow comparison for G2 and G4 removal","Marty figure Continuation panel A","later edited/redrawn counterpart of Figure3.eps; not an exact conversion","created 2018-01-08; modified 2018-03-26; Adobe Illustrator CC 2014","quantitative steady-summary correspondence to published figure 8; not a duplicate","rendered and text-extracted"
archive/legacy-2017/Figure4.pdf,PDF,"monochrome Det(Jx) and Det(Jy) versus G2","Marty figure Continuation panel E","later edited/redrawn counterpart of Figure1.eps; not an exact conversion","created 2018-01-08; modified 2018-03-26; Adobe Illustrator/Ghostscript","no published panel","rendered and text-extracted"
archive/legacy-2017/Figure5.pdf,PDF,"monochrome Det(Jx) and Det(Jy) versus G4","Marty figure Continuation panel F","later edited/redrawn counterpart of Figure2.eps; not an exact conversion","created 2018-01-08; modified 2018-03-26; Adobe Illustrator/Ghostscript","no published panel","rendered and text-extracted"
archive/legacy-2017/Figure6.pdf,PDF,"monochrome normalized reduced states x y z versus G4","Marty figure Continuation panel D","later edited/redrawn counterpart of Figure4.eps; not an exact conversion","created 2018-01-08; modified 2018-03-26; Adobe Illustrator/Ghostscript","qualitative directional correspondence to published figure 6; no direct panel match","rendered and text-extracted"
archive/legacy-2017/Figure7.pdf,PDF,"monochrome normalized reduced states x y z versus G2","Marty figure Continuation panel C","later edited/redrawn counterpart of Figure5.eps; not an exact conversion","created 2018-01-08; modified 2018-03-26; Adobe Illustrator/Ghostscript","qualitative negligible-AE2 correspondence to published figure 6; no direct panel match","rendered and text-extracted"
archive/legacy-2017/Figure8.pdf,PDF,"three-point normalized dQ/dG4 dependence on lambda11 at 50 100 and 150 percent","Marty figure Continuation panel B","later reduced-manuscript plot; conceptually linked to the Ae4 forward coefficient but not a direct duplicate of Figure8.eps","creation metadata 2017-06-08; modified 2018-03-26; MATLAB/Ghostscript","no published panel","rendered and text-extracted"
